title                                                                                                                                                                                                                          datetime                     link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
To counter China, NATO and its Asian partners are moving closer under US leadership                                                                                                                                            2024-07-09 16:33:21.942904   news.google.com/articles/CBMiaGh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL25hdG8tamFwYW4tc291dGgta29yZWEtYXVzdHJhbGlhLW5ldy16ZWFsYW5kLTZjM2Q5YWE2ZmNjYzEyNTNjYTk5ZWUxNDAwNzNmOTVj0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                         
Focusing In: The Bloomberg Open, Asia Edition                                                                                                                                                                                  2024-07-09 16:33:21.942904   news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9uZXdzbGV0dGVycy8yMDI0LTA3LTA5L2ZvY3VzaW5nLWluLXRoZS1ibG9vbWJlcmctb3Blbi1hc2lhLWVkaXRpb27SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                  
Central Asia’s Post-Ukraine Future                                                                                                                                                                                             2024-07-09 16:33:21.942904   news.google.com/articles/CBMiQmh0dHBzOi8vdGhlZGlwbG9tYXQuY29tLzIwMjQvMDcvY2VudHJhbC1hc2lhcy1wb3N0LXVrcmFpbmUtZnV0dXJlL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                           
3. How people in the Asia-Pacific region view China’s role on the world stage                                                                                                                                                  2024-07-09 16:33:21.942904   news.google.com/articles/CBMieGh0dHBzOi8vd3d3LnBld3Jlc2VhcmNoLm9yZy9nbG9iYWwvMjAyNC8wNy8wOS9ob3ctcGVvcGxlLWluLXRoZS1hc2lhLXBhY2lmaWMtcmVnaW9uLXZpZXctY2hpbmFzLXJvbGUtb24tdGhlLXdvcmxkLXN0YWdlL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                   
Asia and the Pacific: Weekly Regional Humanitarian Snapshot (2 - 8 July 2024)                                                                                                                                                  2024-07-09 16:33:21.942904   news.google.com/articles/CBMieWh0dHBzOi8vd3d3LnVub2NoYS5vcmcvcHVibGljYXRpb25zL3JlcG9ydC9pbmRvbmVzaWEvYXNpYS1hbmQtcGFjaWZpYy13ZWVrbHktcmVnaW9uYWwtaHVtYW5pdGFyaWFuLXNuYXBzaG90LTItOC1qdWx5LTIwMjTSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                  
Our Readers’ Favorite Asia and Southeast Asia Resorts of 2024                                                                                                                                                                  2024-07-09 16:33:21.942904   news.google.com/articles/CBMiSGh0dHBzOi8vd3d3LnRyYXZlbGFuZGxlaXN1cmUuY29tL3diYS0yMDI0LXJlc29ydHMtc291dGhlYXN0LWFzaWEtODY2MDY4NdIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                   
Gender is reshaping South Korea’s electoral landscape                                                                                                                                                                          2024-07-09 16:33:21.942904   news.google.com/articles/CBMiWmh0dHBzOi8vZWFzdGFzaWFmb3J1bS5vcmcvMjAyNC8wNy8wOS9nZW5kZXItaXMtcmVzaGFwaW5nLXNvdXRoLWtvcmVhcy1lbGVjdG9yYWwtbGFuZHNjYXBlL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                           
‘Didi’ to open Sundance Film Festival: Asia in Taipei                                                                                                                                                                          2024-07-09 16:33:21.942904   news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LnNjcmVlbmRhaWx5LmNvbS9uZXdzL2RpZGktdG8tb3Blbi1zdW5kYW5jZS1maWxtLWZlc3RpdmFsLWFzaWEtaW4tdGFpcGVpLzUxOTUzMzEuYXJ0aWNsZdIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                               
The FFT turns to Asia                                                                                                                                                                                                          2024-07-09 16:33:21.942904   news.google.com/articles/CBMiOmh0dHBzOi8vd3d3LmZyYW5jc2pldXguY29tL2VuL3Nob3J0L3RoZS1mZnQtdHVybnMtdG8tYXNpYS_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                      
China tightening its grip on leaky rare earth supplies                                                                                                                                                                         2024-07-09 16:33:21.942904   news.google.com/articles/CBMiVWh0dHBzOi8vYXNpYXRpbWVzLmNvbS8yMDI0LzA3L2NoaW5hLXRpZ2h0ZW5pbmctaXRzLWdyaXAtb24tbGVha3ktcmFyZS1lYXJ0aC1zdXBwbGllcy_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                  
US needs smarter policies to avoid a China war                                                                                                                                                                                 2024-07-09 16:33:21.942904   news.google.com/articles/CBMiTWh0dHBzOi8vYXNpYXRpbWVzLmNvbS8yMDI0LzA3L3VzLW5lZWRzLXNtYXJ0ZXItcG9saWNpZXMtdG8tYXZvaWQtYS1jaGluYS13YXIv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                             
Iran’s Pezeshkian a ray of hope for the West                                                                                                                                                                                   2024-07-09 16:33:21.942904   news.google.com/articles/CBMiSmh0dHBzOi8vYXNpYXRpbWVzLmNvbS8yMDI0LzA3L2lyYW5zLXBlemVzaGtpYW4tYS1yYXktb2YtaG9wZS1mb3ItdGhlLXdlc3Qv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                 
Is Bank of Japan finally ready to really raise rates?                                                                                                                                                                          2024-07-09 16:33:21.942904   news.google.com/articles/CBMiU2h0dHBzOi8vYXNpYXRpbWVzLmNvbS8yMDI0LzA3L2lzLWJhbmstb2YtamFwYW4tZmluYWxseS1yZWFkeS10by1yZWFsbHktcmFpc2UtcmF0ZXMv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                     
Women in politics: How far has Asia come?                                                                                                                                                                                      2024-07-09 16:33:21.942904   news.google.com/articles/CBMiSGh0dHBzOi8vd3d3LmR3LmNvbS9lbi93b21lbi1pbi1wb2xpdGljcy1ob3ctZmFyLWhhcy1hc2lhLWNvbWUvYS02OTYwNTg3N9IBSGh0dHBzOi8vYW1wLmR3LmNvbS9lbi93b21lbi1pbi1wb2xpdGljcy1ob3ctZmFyLWhhcy1hc2lhLWNvbWUvYS02OTYwNTg3Nw?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                   
The future of the tech office is taking shape in Asia, not Silicon Valley                                                                                                                                                      2024-07-09 16:33:21.959624   news.google.com/articles/CBMibWh0dHBzOi8vd3d3LmZhc3Rjb21wYW55LmNvbS85MTE1MTExMy90aGUtZnV0dXJlLW9mLXRoZS10ZWNoLW9mZmljZS1pcy1iZWluZy1zaGFwZWQtaW4tYXNpYS1ub3Qtc2lsaWNvbi12YWxsZXnSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                  
Taiho exercises option for Arcus Biosciences’ quemliclustat in Asia                                                                                                                                                            2024-07-09 16:33:21.959624   news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LnBoYXJtYWNldXRpY2FsLXRlY2hub2xvZ3kuY29tL25ld3MvdGFpaG8tYXJjdXMtcXVlbWxpY2x1c3RhdC1hc2lhL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                           
Editorial: Biogeochemical and biodiversity impacts of oil palm land-use in Southeast Asia                                                                                                                                      2024-07-09 16:33:21.959624   news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LmZyb250aWVyc2luLm9yZy9qb3VybmFscy9mb3Jlc3RzLWFuZC1nbG9iYWwtY2hhbmdlL2FydGljbGVzLzEwLjMzODkvZmZnYy4yMDI0LjE0NDEyNjYvZnVsbNIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                           
Central Asian railway to offer new link between China, Europe                                                                                                                                                                  2024-07-09 16:33:21.959624   news.google.com/articles/CBMibGh0dHBzOi8vYXNpYS5uaWtrZWkuY29tL0J1c2luZXNzL1RyYW5zcG9ydGF0aW9uL0NlbnRyYWwtQXNpYW4tcmFpbHdheS10by1vZmZlci1uZXctbGluay1iZXR3ZWVuLUNoaW5hLUV1cm9wZdIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                   
Asia’s 50 Best Bars 2024: the 51-100 list revealed                                                                                                                                                                             2024-07-09 16:33:21.959624   news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LnRoZXdvcmxkczUwYmVzdC5jb20vc3Rvcmllcy9OZXdzL2FzaWFzLTUwLWJlc3QtYmFycy0yMDI0LXRoZS01MS0xMDAtbGlzdC1yZXZlYWxlZC5odG1s0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                 
S&P 500 Holds Gains as Fed Bets Steady on Powell: Markets Wrap                                                                                                                                                                 2024-07-09 16:33:21.959624   news.google.com/articles/CBMiSmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hc2lhbi1zdG9ja3Mtc2V0LXN0ZWFkeS1vcGVuLTIyMzI1NzUyMC5odG1s0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                 
Economic calendar in Asia Wednesday, 10 July: Chinese inflation data, RBNZ policy decision                                                                                                                                     2024-07-09 16:33:21.959624   news.google.com/articles/CBMigAFodHRwczovL3d3dy5mb3JleGxpdmUuY29tL25ld3MvZWNvbm9taWMtY2FsZW5kYXItaW4tYXNpYS13ZWRuZXNkYXktMTAtanVseS1jaGluZXNlLWluZmxhdGlvbi1kYXRhLXJibnotcG9saWN5LWRlY2lzaW9uLTIwMjQwNzA5L9IBhAFodHRwczovL3d3dy5mb3JleGxpdmUuY29tL25ld3MvZWNvbm9taWMtY2FsZW5kYXItaW4tYXNpYS13ZWRuZXNkYXktMTAtanVseS1jaGluZXNlLWluZmxhdGlvbi1kYXRhLXJibnotcG9saWN5LWRlY2lzaW9uLTIwMjQwNzA5L2FtcC8?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                      
News Middle Corridor more important to Central Asia trade than as an ocean bypass                                                                                                                                              2024-07-09 16:33:21.959624   news.google.com/articles/CBMiZWh0dHBzOi8vdGhlbG9hZHN0YXIuY29tL21pZGRsZS1jb3JyaWRvci1tb3JlLWltcG9ydGFudC10by1jZW50cmFsLWFzaWEtdHJhZGUtdGhhbi1hcy1hbi1vY2Vhbi1ieXBhc3Mv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                             
db Asia: June in pictures                                                                                                                                                                                                      2024-07-09 16:33:21.959624   news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LnRoZWRyaW5rc2J1c2luZXNzLmNvbS8yMDI0LzA3L2RiLWFzaWEtanVuZS1pbi1waWN0dXJlcy_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                          
2024 Sundance Film Festival: Asia Program Announcement                                                                                                                                                                         2024-07-09 16:33:21.959624   news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LnN1bmRhbmNlLm9yZy9ibG9ncy8yMDI0LXN1bmRhbmNlLWZpbG0tZmVzdGl2YWwtYXNpYS1wcm9ncmFtLWFubm91bmNlbWVudC_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                  
Our Readers’ Favorite Islands in Asia of 2024                                                                                                                                                                                  2024-07-09 16:33:21.959624   news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnRyYXZlbGFuZGxlaXN1cmUuY29tL3diYS0yMDI0LWlzbGFuZHMtYXNpYS04NjUyNjQy0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                 
