neg,neu,pos,compound,datetime
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.942904
0.0,0.75,0.25,0.4588,2024-07-09 16:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.942904
0.0,0.714,0.286,0.4939,2024-07-09 16:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.942904
0.433,0.355,0.213,-0.4767,2024-07-09 16:33:21.942904
0.0,0.707,0.293,0.4404,2024-07-09 16:33:21.942904
0.0,0.783,0.217,0.3612,2024-07-09 16:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.959624
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.959624
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.959624
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.959624
0.0,0.656,0.344,0.6369,2024-07-09 16:33:21.959624
0.0,0.821,0.179,0.34,2024-07-09 16:33:21.959624
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.959624
0.0,0.861,0.139,0.2716,2024-07-09 16:33:21.959624
0.0,1.0,0.0,0.0,2024-07-09 16:33:21.959624
0.0,0.652,0.348,0.4939,2024-07-09 16:33:21.959624
0.0,0.7,0.3,0.4588,2024-07-09 16:33:21.959624
0.196,0.642,0.162,-0.25,2024-07-09 16:33:21.959624
0.268,0.732,0.0,-0.5106,2024-07-09 16:33:21.959624
0.119,0.593,0.288,0.4588,2024-07-09 17:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 17:33:21.959624
0.0,1.0,0.0,0.0,2024-07-09 18:33:21.959624
0.25,0.75,0.0,-0.4588,2024-07-09 19:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 19:33:21.942904
0.0,0.797,0.203,0.4215,2024-07-09 19:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 19:33:21.959624
0.0,0.548,0.452,0.3182,2024-07-09 19:33:21.959624
0.0,1.0,0.0,0.0,2024-07-09 19:33:21.959624
0.0,0.641,0.359,0.6808,2024-07-09 20:33:21.942904
0.0,0.714,0.286,0.34,2024-07-09 20:33:21.942904
0.0,0.704,0.296,0.4939,2024-07-09 21:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 21:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 21:33:21.942904
0.0,0.776,0.224,0.3818,2024-07-09 21:33:21.942904
0.484,0.516,0.0,-0.8176,2024-07-09 21:33:21.942904
0.0,0.781,0.219,0.4215,2024-07-09 21:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 21:33:21.942904
0.0,0.84,0.16,0.2263,2024-07-09 21:33:21.958519
0.115,0.656,0.23,0.4767,2024-07-09 21:33:21.959624
0.0,0.707,0.293,0.4404,2024-07-09 21:33:21.959624
0.0,0.804,0.196,0.296,2024-07-09 21:33:21.959624
0.193,0.614,0.193,0.0,2024-07-09 21:33:21.959624
0.236,0.569,0.195,-0.128,2024-07-09 22:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 22:33:21.942904
0.247,0.753,0.0,-0.3818,2024-07-09 22:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 22:33:21.959624
0.0,0.694,0.306,0.5267,2024-07-09 22:33:21.959624
0.0,0.784,0.216,0.296,2024-07-09 22:33:21.959624
0.0,1.0,0.0,0.0,2024-07-09 22:33:21.959624
0.0,0.769,0.231,0.6369,2024-07-09 22:33:21.959624
0.237,0.632,0.132,-0.25,2024-07-09 23:33:21.942904
0.113,0.773,0.113,0.0,2024-07-09 23:33:21.942904
0.0,1.0,0.0,0.0,2024-07-09 23:33:21.942904
0.508,0.492,0.0,-0.7351,2024-07-09 23:33:21.942904
0.281,0.719,0.0,-0.5994,2024-07-09 23:33:21.942904
0.0,0.744,0.256,0.4767,2024-07-09 23:33:21.942904
0.365,0.635,0.0,-0.6808,2024-07-09 23:33:21.959624
0.228,0.495,0.277,0.1263,2024-07-09 23:33:21.959624
0.0,0.915,0.085,0.1027,2024-07-09 23:33:21.959624
0.0,0.789,0.211,0.4939,2024-07-10 00:33:21.942904
0.369,0.631,0.0,-0.6249,2024-07-10 00:33:21.942904
0.274,0.726,0.0,-0.5267,2024-07-10 00:33:21.942904
0.326,0.674,0.0,-0.2263,2024-07-10 00:33:21.942904
0.0,1.0,0.0,0.0,2024-07-10 00:33:21.942904
0.0,1.0,0.0,0.0,2024-07-10 00:33:21.942904
0.0,1.0,0.0,0.0,2024-07-10 00:33:21.958519
0.231,0.769,0.0,-0.34,2024-07-10 00:33:21.959624
0.0,1.0,0.0,0.0,2024-07-10 00:33:21.959624
0.0,0.741,0.259,0.6369,2024-07-10 00:33:21.959624
0.391,0.609,0.0,-0.6705,2024-07-10 00:33:21.959624
0.0,1.0,0.0,0.0,2024-07-10 01:33:21.942904
0.0,1.0,0.0,0.0,2024-07-10 01:33:21.942904
0.358,0.642,0.0,-0.5994,2024-07-10 01:33:21.942904
0.0,1.0,0.0,0.0,2024-07-10 01:33:21.942904
0.0,1.0,0.0,0.0,2024-07-10 01:33:21.942904
0.0,1.0,0.0,0.0,2024-07-10 01:33:21.942904
0.0,0.833,0.167,0.3818,2024-07-10 01:33:21.942904
0.0,0.714,0.286,0.4215,2024-07-10 01:33:21.942904
0.0,0.774,0.226,0.4215,2024-07-10 01:33:21.959624
0.452,0.548,0.0,-0.5106,2024-07-10 01:33:21.959624
0.0,1.0,0.0,0.0,2024-07-10 01:33:21.959624
0.0,0.722,0.278,0.4019,2024-07-10 02:33:21.942904
0.0,1.0,0.0,0.0,2024-07-10 02:33:21.942904
0.0,1.0,0.0,0.0,2024-07-10 02:33:21.959624
0.0,1.0,0.0,0.0,2024-07-10 02:33:21.959624
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.885959
0.179,0.821,0.0,-0.34,2024-07-22 16:33:29.885959
0.259,0.741,0.0,-0.4215,2024-07-22 16:33:29.889362
0.0,0.815,0.185,0.5267,2024-07-22 16:33:29.890488
0.0,0.784,0.216,0.296,2024-07-22 16:33:29.891495
0.0,0.698,0.302,0.3818,2024-07-22 16:33:29.892502
0.0,0.703,0.297,0.5859,2024-07-22 16:33:29.896558
0.259,0.741,0.0,-0.2732,2024-07-22 16:33:29.897507
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.897507
0.263,0.737,0.0,-0.3612,2024-07-22 16:33:29.899141
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.901022
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.902022
0.0,0.929,0.071,0.3182,2024-07-22 16:33:29.902022
0.0,0.822,0.178,0.0772,2024-07-22 16:33:29.904095
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.904095
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.905144
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.905144
0.0,0.794,0.206,0.3818,2024-07-22 16:33:29.906151
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.910887
0.185,0.815,0.0,-0.3612,2024-07-22 16:33:29.912018
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.913013
0.355,0.645,0.0,-0.5267,2024-07-22 16:33:29.914007
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.914007
0.137,0.735,0.127,-0.0516,2024-07-22 16:33:29.915004
0.0,0.756,0.244,0.4404,2024-07-22 16:33:29.915004
0.0,0.8,0.2,0.3612,2024-07-22 16:33:29.915004
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.916038
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.917009
0.474,0.526,0.0,-0.743,2024-07-22 16:33:29.918907
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.918907
0.0,0.654,0.346,0.5719,2024-07-22 16:33:29.920358
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.921430
0.316,0.684,0.0,-0.7184,2024-07-22 16:33:29.922315
0.0,1.0,0.0,0.0,2024-07-22 16:33:29.922315
0.171,0.62,0.209,0.128,2024-07-22 16:33:29.923420
0.444,0.556,0.0,-0.7506,2024-07-22 16:33:29.924439
0.0,0.842,0.158,0.128,2024-07-22 16:33:29.925314
0.0,0.87,0.13,0.2023,2024-07-22 16:33:29.927312
0.0,0.833,0.167,0.25,2024-07-22 17:33:29.894502
0.0,1.0,0.0,0.0,2024-07-22 17:33:29.905144
0.0,0.815,0.185,0.6124,2024-07-22 17:33:29.912018
0.179,0.569,0.252,0.2263,2024-07-22 17:33:29.926313
0.0,1.0,0.0,0.0,2024-07-22 18:33:29.896558
0.0,1.0,0.0,0.0,2024-07-22 19:33:29.886977
0.409,0.435,0.157,-0.4404,2024-07-22 19:33:29.887964
0.0,1.0,0.0,0.0,2024-07-22 19:33:29.887964
0.0,1.0,0.0,0.0,2024-07-22 19:33:29.891495
0.0,1.0,0.0,0.0,2024-07-22 19:33:29.907264
0.0,0.803,0.197,0.4019,2024-07-22 20:33:29.890488
0.0,0.714,0.286,0.5267,2024-07-22 20:33:29.900024
0.0,1.0,0.0,0.0,2024-07-22 20:33:29.912018
0.0,0.833,0.167,0.3818,2024-07-22 21:33:29.899141
0.0,0.88,0.12,0.128,2024-07-22 21:33:29.910887
0.0,0.664,0.336,0.7269,2024-07-22 21:33:29.914007
0.271,0.729,0.0,-0.3818,2024-07-22 21:33:29.917009
0.0,1.0,0.0,0.0,2024-07-22 22:33:29.887964
0.0,1.0,0.0,0.0,2024-07-22 22:33:29.896558
0.486,0.514,0.0,-0.8176,2024-07-22 22:33:29.897507
0.0,1.0,0.0,0.0,2024-07-22 22:33:29.901022
0.268,0.732,0.0,-0.296,2024-07-22 22:33:29.903087
0.0,1.0,0.0,0.0,2024-07-22 22:33:29.903087
0.0,0.682,0.318,0.4215,2024-07-22 22:33:29.905144
0.0,0.803,0.197,0.4019,2024-07-22 22:33:29.906151
0.576,0.424,0.0,-0.8591,2024-07-22 22:33:29.915004
0.0,1.0,0.0,0.0,2024-07-22 22:33:29.918006
0.0,1.0,0.0,0.0,2024-07-22 22:33:29.925314
0.0,1.0,0.0,0.0,2024-07-22 22:33:29.927312
0.0,0.615,0.385,0.7845,2024-07-22 22:33:29.927312
0.0,1.0,0.0,0.0,2024-07-22 23:33:29.884971
0.0,0.816,0.184,0.4019,2024-07-22 23:33:29.897507
0.0,1.0,0.0,0.0,2024-07-22 23:33:29.897507
0.0,1.0,0.0,0.0,2024-07-22 23:33:29.900024
0.0,1.0,0.0,0.0,2024-07-22 23:33:29.907264
0.0,1.0,0.0,0.0,2024-07-22 23:33:29.907264
0.339,0.661,0.0,-0.6249,2024-07-22 23:33:29.908932
0.0,1.0,0.0,0.0,2024-07-22 23:33:29.910887
0.31,0.69,0.0,-0.5423,2024-07-22 23:33:29.922315
0.512,0.488,0.0,-0.743,2024-07-22 23:33:29.926313
0.0,0.793,0.207,0.5267,2024-07-23 00:33:29.885959
0.0,1.0,0.0,0.0,2024-07-23 00:33:29.885959
0.0,1.0,0.0,0.0,2024-07-23 00:33:29.889362
0.0,1.0,0.0,0.0,2024-07-23 00:33:29.902022
0.0,1.0,0.0,0.0,2024-07-23 00:33:29.909887
0.0,0.598,0.402,0.5719,2024-07-23 00:33:29.913013
0.165,0.696,0.139,-0.1027,2024-07-23 00:33:29.918907
0.0,1.0,0.0,0.0,2024-07-23 00:33:29.921430
0.0,0.566,0.434,0.3182,2024-07-23 01:33:29.893503
