title,compound,datetime
"To counter China, NATO and its Asian partners are moving closer under US leadership",0.0,2024-07-09 16:33:21.942904
"Focusing In: The Bloomberg Open, Asia Edition",0.0,2024-07-09 16:33:21.942904
Central Asia’s Post-Ukraine Future,0.0,2024-07-09 16:33:21.942904
3. How people in the Asia-Pacific region view China’s role on the world stage,0.0,2024-07-09 16:33:21.942904
Asia and the Pacific: Weekly Regional Humanitarian Snapshot (2 - 8 July 2024),0.0,2024-07-09 16:33:21.942904
Our Readers’ Favorite Asia and Southeast Asia Resorts of 2024,0.4588,2024-07-09 16:33:21.942904
Gender is reshaping South Korea’s electoral landscape,0.0,2024-07-09 16:33:21.942904
‘Didi’ to open Sundance Film Festival: Asia in Taipei,0.4939,2024-07-09 16:33:21.942904
The FFT turns to Asia,0.0,2024-07-09 16:33:21.942904
China tightening its grip on leaky rare earth supplies,0.0,2024-07-09 16:33:21.942904
US needs smarter policies to avoid a China war,-0.4767,2024-07-09 16:33:21.942904
Iran’s Pezeshkian a ray of hope for the West,0.4404,2024-07-09 16:33:21.942904
Is Bank of Japan finally ready to really raise rates?,0.3612,2024-07-09 16:33:21.942904
Women in politics: How far has Asia come?,0.0,2024-07-09 16:33:21.942904
"The future of the tech office is taking shape in Asia, not Silicon Valley",0.0,2024-07-09 16:33:21.959624
Taiho exercises option for Arcus Biosciences’ quemliclustat in Asia,0.0,2024-07-09 16:33:21.959624
Editorial: Biogeochemical and biodiversity impacts of oil palm land-use in Southeast Asia,0.0,2024-07-09 16:33:21.959624
"Central Asian railway to offer new link between China, Europe",0.0,2024-07-09 16:33:21.959624
Asia’s 50 Best Bars 2024: the 51-100 list revealed,0.6369,2024-07-09 16:33:21.959624
S&P 500 Holds Gains as Fed Bets Steady on Powell: Markets Wrap,0.34,2024-07-09 16:33:21.959624
"Economic calendar in Asia Wednesday, 10 July: Chinese inflation data, RBNZ policy decision",0.0,2024-07-09 16:33:21.959624
News Middle Corridor more important to Central Asia trade than as an ocean bypass,0.2716,2024-07-09 16:33:21.959624
db Asia: June in pictures,0.0,2024-07-09 16:33:21.959624
2024 Sundance Film Festival: Asia Program Announcement,0.4939,2024-07-09 16:33:21.959624
Our Readers’ Favorite Islands in Asia of 2024,0.4588,2024-07-09 16:33:21.959624
"Trump's policies paint a 'negative picture,' yet his willingness to 'cut deals' may help with China, says the CEO of Southeast Asia's largest bank",-0.25,2024-07-09 16:33:21.959624
NATO extending tentacles into Asia-Pacific will only end in failure,-0.5106,2024-07-09 16:33:21.959624
Asia’s Richest Man Plans Costly Wedding for His Son,0.4588,2024-07-09 17:33:21.942904
Morning Bid: Debating the fate of rates,0.0,2024-07-09 17:33:21.959624
NATO Wants to Plant Its Flag in Asia,0.0,2024-07-09 18:33:21.959624
"Ex-Morgan Stanley Banker’s Fund Raises $3.4 Billion, Beating Asia Rivals",-0.4588,2024-07-09 19:33:21.942904
Japan stocks scale new peaks after inflation data meets expectations amid mixed Asia markets,0.0,2024-07-09 19:33:21.942904
The Luzon Economic Corridor as the United States’ Southeast Asian litmus test,0.4215,2024-07-09 19:33:21.942904
Asia-Pacific markets set for mixed open after Powell's dovish tone; Japan and China inflation in focus,0.0,2024-07-09 19:33:21.959624
Pan Asia Metals Expands Lithium Exploration,0.3182,2024-07-09 19:33:21.959624
Uniqlo to apply European 'select few' strategy worldwide,0.0,2024-07-09 19:33:21.959624
Should there be a dedicated credit rating agency for Asia and the Pacific?,0.6808,2024-07-09 20:33:21.942904
Expo crucial for boosting Sino-South Asian trade,0.34,2024-07-09 20:33:21.942904
"Security Software Market in Asia/Pacific* Grew 21.1% in 2023, Reaching $6.3 Billion",0.4939,2024-07-09 21:33:21.942904
"Vietnam opens cloud, data center market to foreign companies",0.0,2024-07-09 21:33:21.942904
Singapore diversifies food sources with insects,0.0,2024-07-09 21:33:21.942904
Fiera Capital announces launch of SMID growth strategy in Asia,0.3818,2024-07-09 21:33:21.942904
Asia’s Worst Stock Loser Erases Thai Founder From Billionaire Status,-0.8176,2024-07-09 21:33:21.942904
Unforgettable firsts and inspiring journeys: Asian athletes’ milestones at the Olympics,0.4215,2024-07-09 21:33:21.942904
South and central Asia,0.0,2024-07-09 21:33:21.942904
Pan Asia locks in final exploration permits for Chile lithium project,0.2263,2024-07-09 21:33:21.958519
"Four Indian bars make the cut for Asia’s 50 Best Bars 2024, extended list",0.4767,2024-07-09 21:33:21.959624
Australia Set to Host 2025 XTERRA Asia-Pacific Championship,0.4404,2024-07-09 21:33:21.959624
Asia shares dip; New Zealand dollar firms ahead of RBNZ,0.296,2024-07-09 21:33:21.959624
Asia Shares Steady; Kiwi Falls as RBNZ Cuts Eyed,0.0,2024-07-09 21:33:21.959624
China cooking oil scandal sparks a scramble to reassure consumers,-0.128,2024-07-09 22:33:21.942904
"ForexLive Asia-Pacific FX news wrap: RBNZ leans more dovish, NZD drops",0.0,2024-07-09 22:33:21.942904
"Powell Flags Risks, Samsung Faces ‘Indefinite’ Labor Strike | Bloomberg: The Asia Trade 7/10/24",-0.3818,2024-07-09 22:33:21.942904
Toys“R”Us launches Asia’s first ‘Playful Living’ concept store in Hong Kong,0.0,2024-07-09 22:33:21.959624
Kokusai Electric shares fall 9% on KKR share sale report By Reuters,0.5267,2024-07-09 22:33:21.959624
China's outgoing ambassador to South Korea leaves sour legacy,0.296,2024-07-09 22:33:21.959624
Japan’s Atsumi launches SE Asia presence with HCMC office,0.0,2024-07-09 22:33:21.959624
Asia’s 50 Best Bars unveils the establishments voted onto the extended 51-100 list for 2024,0.6369,2024-07-09 22:33:21.959624
