neg,neu,pos,compound,datetime
0.0,1.0,0.0,0.0,2024-07-03 15:27:02.930379
0.0,1.0,0.0,0.0,2024-07-03 15:27:02.930379
0.066,0.824,0.11,0.2023,2024-07-03 15:27:02.945959
0.0,1.0,0.0,0.0,2024-07-03 15:27:02.945959
0.0,1.0,0.0,0.0,2024-07-03 15:27:02.945959
0.0,0.753,0.247,0.3182,2024-07-03 15:27:02.945959
0.0,1.0,0.0,0.0,2024-07-03 15:27:02.945959
0.0,0.877,0.123,0.1027,2024-07-03 15:27:02.945959
0.0,1.0,0.0,0.0,2024-07-03 15:27:02.977255
0.0,0.703,0.297,0.5859,2024-07-03 15:27:02.984815
0.0,0.877,0.123,0.1027,2024-07-03 15:27:02.984815
0.0,1.0,0.0,0.0,2024-07-03 15:27:02.984815
0.0,1.0,0.0,0.0,2024-07-03 15:27:02.984815
0.0,0.865,0.135,0.1027,2024-07-03 15:27:02.984815
0.0,0.787,0.213,0.4215,2024-07-03 15:27:02.993374
0.0,1.0,0.0,0.0,2024-07-03 15:27:02.993374
0.209,0.791,0.0,-0.4404,2024-07-03 15:27:03.009077
0.0,1.0,0.0,0.0,2024-07-03 15:27:03.009077
0.0,1.0,0.0,0.0,2024-07-03 15:27:03.009077
0.0,1.0,0.0,0.0,2024-07-04 15:27:02.930379
0.0,1.0,0.0,0.0,2024-07-04 15:27:02.945959
0.0,1.0,0.0,0.0,2024-07-04 15:27:02.945959
0.0,0.802,0.198,0.4939,2024-07-04 15:27:02.945959
0.0,0.839,0.161,0.3182,2024-07-04 15:27:02.977255
0.0,1.0,0.0,0.0,2024-07-04 15:27:02.977255
0.0,1.0,0.0,0.0,2024-07-04 15:27:02.977255
0.0,1.0,0.0,0.0,2024-07-04 15:27:02.984815
0.0,0.87,0.13,0.128,2024-07-04 15:27:02.984815
0.128,0.872,0.0,-0.2263,2024-07-04 15:27:02.993374
0.167,0.833,0.0,-0.2023,2024-07-04 15:27:02.993374
0.0,1.0,0.0,0.0,2024-07-04 15:27:02.993374
0.222,0.625,0.153,-0.25,2024-07-04 15:27:02.993374
0.0,1.0,0.0,0.0,2024-07-04 15:27:02.993374
0.0,1.0,0.0,0.0,2024-07-04 15:27:02.993374
0.0,1.0,0.0,0.0,2024-07-04 15:27:03.009077
0.0,1.0,0.0,0.0,2024-07-05 15:27:02.930379
0.211,0.704,0.085,-0.4215,2024-07-05 15:27:02.930379
0.0,1.0,0.0,0.0,2024-07-05 15:27:02.930379
0.16,0.638,0.202,0.2023,2024-07-05 15:27:02.930379
0.0,1.0,0.0,0.0,2024-07-05 15:27:02.930379
0.0,1.0,0.0,0.0,2024-07-05 15:27:02.930379
0.0,1.0,0.0,0.0,2024-07-05 15:27:02.930379
0.0,0.596,0.404,0.7269,2024-07-05 15:27:02.945959
0.0,0.756,0.244,0.4404,2024-07-05 15:27:02.945959
0.209,0.791,0.0,-0.4404,2024-07-05 15:27:02.945959
0.0,0.891,0.109,0.0258,2024-07-05 15:27:02.945959
0.0,1.0,0.0,0.0,2024-07-05 15:27:02.977255
0.286,0.714,0.0,-0.34,2024-07-05 15:27:02.977255
0.0,0.645,0.355,0.6705,2024-07-05 15:27:02.984815
0.0,0.877,0.123,0.1027,2024-07-05 15:27:02.984815
0.0,0.783,0.217,0.3612,2024-07-05 15:27:02.993374
0.0,1.0,0.0,0.0,2024-07-05 15:27:02.993374
0.0,1.0,0.0,0.0,2024-07-05 15:27:02.993374
0.261,0.739,0.0,-0.5563,2024-07-05 15:27:02.993374
0.244,0.756,0.0,-0.4404,2024-07-05 15:27:02.993374
0.293,0.707,0.0,-0.4404,2024-07-05 15:27:02.993374
0.0,1.0,0.0,0.0,2024-07-05 15:27:03.009077
0.0,0.748,0.252,0.5719,2024-07-05 15:27:03.009077
0.0,1.0,0.0,0.0,2024-07-06 15:27:02.930379
0.0,0.778,0.222,0.5719,2024-07-06 15:27:02.930379
0.0,0.719,0.281,0.5994,2024-07-06 15:27:02.945959
0.0,1.0,0.0,0.0,2024-07-06 15:27:02.945959
0.252,0.748,0.0,-0.4019,2024-07-06 15:27:02.945959
0.0,0.743,0.257,0.5859,2024-07-06 15:27:02.945959
0.0,0.758,0.242,0.296,2024-07-06 15:27:02.993374
0.218,0.677,0.105,-0.3612,2024-07-06 15:27:03.009077
0.0,1.0,0.0,0.0,2024-07-07 15:27:24.449599
0.0,1.0,0.0,0.0,2024-07-07 15:27:24.461367
0.0,1.0,0.0,0.0,2024-07-08 12:19:55.928216
0.0,1.0,0.0,0.0,2024-07-08 12:19:55.928216
0.0,1.0,0.0,0.0,2024-07-08 12:19:55.945371
0.0,1.0,0.0,0.0,2024-07-08 12:19:55.945371
0.0,0.8,0.2,0.3612,2024-07-08 12:19:55.945371
0.0,1.0,0.0,0.0,2024-07-08 12:19:55.945371
0.078,0.922,0.0,-0.0258,2024-07-08 12:19:55.945371
0.0,0.875,0.125,0.25,2024-07-08 12:19:55.966502
0.0,0.491,0.509,0.8074,2024-07-08 15:27:24.433908
0.0,1.0,0.0,0.0,2024-07-08 15:27:24.433908
0.0,1.0,0.0,0.0,2024-07-08 15:27:24.433908
0.259,0.741,0.0,-0.2732,2024-07-08 15:27:24.449599
