title                                                                                                                        datetime                     link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
Delays, disruptions as South Koreans surge to sign online petition to impeach president                                      2024-07-01 13:12:00.934446   news.google.com/articles/CBMihAFodHRwczovL3d3dy5yZXV0ZXJzLmNvbS93b3JsZC9hc2lhLXBhY2lmaWMvZGVsYXlzLWRpc3J1cHRpb25zLXNvdXRoLWtvcmVhbnMtc3VyZ2Utc2lnbi1vbmxpbmUtcGV0aXRpb24taW1wZWFjaC1wcmVzaWRlbnQtMjAyNC0wNy0wMS_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                            
North Korea tests 2 missiles, 1 reportedly may have fallen on land                                                           2024-07-01 13:12:50.766894   news.google.com/articles/CBMiaGh0dHBzOi8vYWJjbmV3cy5nby5jb20vSW50ZXJuYXRpb25hbC9ub3J0aC1rb3JlYS10ZXN0cy0yLW1pc3NpbGVzLTEtcmVwb3J0ZWRseS1mYWxsZW4vc3Rvcnk_aWQ9MTExNTY3ODcz0gFsaHR0cHM6Ly9hYmNuZXdzLmdvLmNvbS9hbXAvSW50ZXJuYXRpb25hbC9ub3J0aC1rb3JlYS10ZXN0cy0yLW1pc3NpbGVzLTEtcmVwb3J0ZWRseS1mYWxsZW4vc3Rvcnk_aWQ9MTExNTY3ODcz?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                   
South Korea’s Inflation Slows More Than Expected Toward BOK's 2% Target                                                      2024-07-01 13:12:50.770844   news.google.com/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDI0LTA3LTAxL3NvdXRoLWtvcmVhLXMtaW5mbGF0aW9uLWNvb2xzLW1vcmUtdGhhbi1leHBlY3RlZC10b3dhcmQtdGFyZ2V00gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                       
Renault Korea hit by misandry allegations over finger gesture in clip                                                        2024-07-01 13:12:50.776651   news.google.com/articles/CBMikQFodHRwczovL3d3dy5zY21wLmNvbS93ZWVrLWFzaWEvbGlmZXN0eWxlLWN1bHR1cmUvYXJ0aWNsZS8zMjY4NzQyL3JlbmF1bHQta29yZWEtYmFja2xhc2gtY2FybWFrZXItZW1icm9pbGVkLW1pc2FuZHJ5LXJvdy1vdmVyLWZpbmdlci1nZXN0dXJlLXZpZGVv0gGRAWh0dHBzOi8vYW1wLnNjbXAuY29tL3dlZWstYXNpYS9saWZlc3R5bGUtY3VsdHVyZS9hcnRpY2xlLzMyNjg3NDIvcmVuYXVsdC1rb3JlYS1iYWNrbGFzaC1jYXJtYWtlci1lbWJyb2lsZWQtbWlzYW5kcnktcm93LW92ZXItZmluZ2VyLWdlc3R1cmUtdmlkZW8?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                        
Garbage, Balloons, and Korean Unification Values                                                                             2024-07-01 13:13:03.038280   news.google.com/articles/CBMiTGh0dHBzOi8vd3d3LmNzaXMub3JnL2FuYWx5c2lzL2dhcmJhZ2UtYmFsbG9vbnMtYW5kLWtvcmVhbi11bmlmaWNhdGlvbi12YWx1ZXPSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                                        
Petition to Impeach South Korea's President Crashes                                                                          2024-07-01 13:13:03.038280   news.google.com/articles/CBMiSGh0dHBzOi8vdGltZS5jb20vNjk5NDE2NC9wZXRpdGlvbi1pbXBlYWNobWVudC1zb3V0aC1rb3JlYS15b29uLXN1ay15ZW9sL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                                             
Young Men Are Swinging Hard Right in Korea. It Could Be a Preview for America.                                               2024-07-01 13:13:03.038280   news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzL21hZ2F6aW5lLzIwMjQvMDcvMDEvc291dGgta29yZWEtZ2VuZGVyLWRpdmlkZS1mZW1pbmlzbS0wMDE1NTIwN9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                 
Royal Canadian Navy Frigate HMCS Montreal Visits South Korea                                                                 2024-07-01 13:13:03.038280   news.google.com/articles/CBMiamh0dHBzOi8vd3d3Lm5hdmFsbmV3cy5jb20vbmF2YWwtbmV3cy8yMDI0LzA3L3JveWFsLWNhbmFkaWFuLW5hdnktZnJpZ2F0ZS1obWNzLW1vbnRyZWFsLXZpc2l0cy1zb3V0aC1rb3JlYS_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                
ICC signs Memorandum of Understanding with Korea University                                                                  2024-07-01 13:13:03.038280   news.google.com/articles/CBMiUGh0dHBzOi8vd3d3LmljYy1jcGkuaW50L25ld3MvaWNjLXNpZ25zLW1lbW9yYW5kdW0tdW5kZXJzdGFuZGluZy1rb3JlYS11bml2ZXJzaXR50gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                                   
Lawsuit accuses Iran, Syria and North Korea of providing support for Hamas' Oct. 7 attack on Israel                          2024-07-01 13:13:03.047010   news.google.com/articles/CBMiZ2h0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2lzcmFlbC1oYW1hcy1sYXdzdWl0LWlyYW4tc3lyaWEtbm9ydGgta29yZWEtODY0NjBjMjhiMGU3ZjhjNmM4Y2QxZmFkNmIxZjU5MjnSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                    
Swelling deer herd hems in South Korean islanders                                                                            2024-07-01 13:13:03.047010   news.google.com/articles/CBMiS2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL2ludmVzdGlnYXRlcy9zcGVjaWFsLXJlcG9ydC9zb3V0aGtvcmVhLWlzbGFuZC1kZWVyL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                                         
North Korea switches TV transmission to Russia satellite from Chinese                                                        2024-07-01 13:13:03.047010   news.google.com/articles/CBMidGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2FzaWEtcGFjaWZpYy9ub3J0aC1rb3JlYS1zd2l0Y2hlcy10di10cmFuc21pc3Npb24tcnVzc2lhLXNhdGVsbGl0ZS1jaGluZXNlLTIwMjQtMDctMDEv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                   
At least nine dead in South Korean capital Seoul as car ploughs into crowd                                                   2024-07-01 13:13:03.047010   news.google.com/articles/CBMiLmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hcnRpY2xlcy9jbjA4bHFnMGpsem_SATJodHRwczovL3d3dy5iYmMuY29tL25ld3MvYXJ0aWNsZXMvY24wOGxxZzBqbHpvLmFtcA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                             
South Korea inflation hits 11-month low as supply pressures ease                                                             2024-07-01 13:13:03.047010   news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvYXNpYS9zb3V0aC1rb3JlYS1qdW5lLWluZmxhdGlvbi0yNC15eS13ZWFrZXItdGhhbi1mb3JlY2FzdC0yMDI0LTA3LTAxL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                     
North Koreans are seen wearing Kim Jong Un pins for the first time as his personality cult grows                             2024-07-01 13:13:03.052087   news.google.com/articles/CBMiYWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL25vcnRoLWtvcmVhLWtpbS1waW5zLXBlcnNvbmFsaXR5LWN1bHQtMjNhNDJiZDc1NzFjMjY0ODc5YWE0OTYwYTgxZTg0YjHSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                            
South Korea: Extend state benefits to same-sex partners, ILGA World and ILGA Asia tell the Supreme Court                     2024-07-01 13:13:03.054846   news.google.com/articles/CBMiQ2h0dHBzOi8vaWxnYS5vcmcvbmV3cy9zb3V0aC1rb3JlYS1zYW1lLXNleC1wYXJ0bmVycy1zdGF0ZS1iZW5lZml0cy_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                                                    
Put North Korea's Human Rights Issues Front and Center                                                                       2024-07-01 13:13:03.058362   news.google.com/articles/CBMiWWh0dHBzOi8vd3d3Lmhydy5vcmcvbmV3cy8yMDI0LzA3LzAyL3B1dC1ub3J0aC1rb3JlYXMtaHVtYW4tcmlnaHRzLWlzc3Vlcy1mcm9udC1hbmQtY2VudGVy0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                       
Victims of Hamas Attack Sue Iran, Syria, North Korea in US Court                                                             2024-07-01 13:13:03.058362   news.google.com/articles/CBMiKGh0dHBzOi8vd3d3LmlyYW5pbnRsLmNvbS9lbi8yMDI0MDcwMTkwMjLSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
North Korea says it tested ballistic missile capable of carrying super-large warhead                                         2024-07-01 13:13:03.058362   news.google.com/articles/CBMigAFodHRwczovL3d3dy5yZXV0ZXJzLmNvbS93b3JsZC9hc2lhLXBhY2lmaWMvbm9ydGgta29yZWEtc2F5cy1pdC10ZXN0ZWQtYmFsbGlzdGljLW1pc3NpbGUtY2FwYWJsZS1jYXJyeWluZy1zdXBlci1sYXJnZS0yMDI0LTA3LTAxL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                 
This Song Is Catchy and Going Viral. It's Also North Korean Propaganda.                                                      2024-07-01 13:13:03.058362   news.google.com/articles/CBMiVmh0dHBzOi8vd3d3Lndzai5jb20vbGlmZXN0eWxlL25vcnRoLWtvcmVhbi1wcm9wYWdhbmRhLXRpay10b2stZnJpZW5kbHktZmF0aGVyLTMzOWRkNzg00gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                           
South Korea’s Inflation Cools More Than Expected Toward Target                                                               2024-07-01 13:13:03.058362   news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LmJubmJsb29tYmVyZy5jYS9zb3V0aC1rb3JlYS1zLWluZmxhdGlvbi1jb29scy1tb3JlLXRoYW4tZXhwZWN0ZWQtdG93YXJkLXRhcmdldC0xLjIwOTE3NTTSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                        
Deepening Russia-North Korea ties test US-South Korea deterrence strategy                                                    2024-07-01 13:13:03.058362   news.google.com/articles/CBMicWh0dHBzOi8vd3d3LnZvYW5ld3MuY29tL2EvZGVlcGVuaW5nLXJ1c3NpYS1ub3J0aC1rb3JlYS10aWVzLXRlc3QtdXMtc291dGgta29yZWEtZGV0ZXJyZW5jZS1zdHJhdGVneS0vNzY4MTY5NS5odG1s0gFzaHR0cHM6Ly93d3cudm9hbmV3cy5jb20vYW1wL2RlZXBlbmluZy1ydXNzaWEtbm9ydGgta29yZWEtdGllcy10ZXN0LXVzLXNvdXRoLWtvcmVhLWRldGVycmVuY2Utc3RyYXRlZ3ktLzc2ODE2OTUuaHRtbA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                             
Leftover Ramen Broth Is Causing Problems on South Korea's Mount Halla                                                        2024-07-01 13:13:03.058362   news.google.com/articles/CBMieGh0dHBzOi8vd3d3LnNtaXRoc29uaWFubWFnLmNvbS9zbWFydC1uZXdzL2xlZnRvdmVyLXJhbWVuLWJyb3RoLWlzLWNhdXNpbmctcHJvYmxlbXMtb24tc291dGgta29yZWFzLW1vdW50LWhhbGwtMTgwOTg0NjMzL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                             
Philippine Fried Chicken Giant Jollibee Buys South Korea’s Compose Coffee                                                    2024-07-01 13:13:03.058362   news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmJubmJsb29tYmVyZy5jYS9waGlsaXBwaW5lLWZyaWVkLWNoaWNrZW4tZ2lhbnQtam9sbGliZWUtYnV5cy1zb3V0aC1rb3JlYS1zLWNvbXBvc2UtY29mZmVlLTEuMjA5MTgzMNIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                         
Failed North Korean missile test may have fallen near capital Pyongyang, South Korea says                                    2024-07-01 13:13:03.058362   news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNy8wMS9hc2lhL25vcnRoLWtvcmVhLWZhaWxlZC1taXNzaWxlLXRlc3Qtc291dGgta29yZWEtaW50bC1obmstbWwvaW5kZXguaHRtbNIBX2h0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjQvMDcvMDEvYXNpYS9ub3J0aC1rb3JlYS1mYWlsZWQtbWlzc2lsZS10ZXN0LXNvdXRoLWtvcmVhLWludGwtaG5rLW1s?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                       
Korea Box Office: ‘Inside Out 2’ Dominates on Third Weekend as ‘A Quiet Place’ Creeps Into Fourth Place                      2024-07-01 13:13:03.071525   news.google.com/articles/CBMiZGh0dHBzOi8vdmFyaWV0eS5jb20vMjAyNC9maWxtL25ld3Mva29yZWEtYm94LW9mZmljZS1pbnNpZGUtb3V0LTItZG9taW5hdGVzLXRoaXJkLXdlZWtlbmQtMTIzNjA1Nzc5MC_SAWhodHRwczovL3ZhcmlldHkuY29tLzIwMjQvZmlsbS9uZXdzL2tvcmVhLWJveC1vZmZpY2UtaW5zaWRlLW91dC0yLWRvbWluYXRlcy10aGlyZC13ZWVrZW5kLTEyMzYwNTc3OTAvYW1wLw?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                             
