neg,neu,pos,compound,datetime
0.167,0.833,0.0,-0.34,2024-07-01 13:12:00.934446
0.217,0.783,0.0,-0.3612,2024-07-01 13:12:50.766894
0.0,1.0,0.0,0.0,2024-07-01 13:12:50.770844
0.0,1.0,0.0,0.0,2024-07-01 13:12:50.776651
0.0,0.649,0.351,0.4019,2024-07-01 13:13:03.038280
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.038280
0.097,0.903,0.0,-0.1027,2024-07-01 13:13:03.038280
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.038280
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.038280
0.335,0.543,0.122,-0.5719,2024-07-01 13:13:03.047010
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.047010
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.047010
0.249,0.751,0.0,-0.6486,2024-07-01 13:13:03.047010
0.317,0.504,0.18,-0.2263,2024-07-01 13:13:03.047010
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.052087
0.0,0.639,0.361,0.7845,2024-07-01 13:13:03.054846
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.058362
0.351,0.649,0.0,-0.6597,2024-07-01 13:13:03.058362
0.0,0.809,0.191,0.3818,2024-07-01 13:13:03.058362
0.154,0.846,0.0,-0.25,2024-07-01 13:13:03.058362
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.058362
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.058362
0.213,0.787,0.0,-0.4019,2024-07-01 13:13:03.058362
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.058362
0.326,0.674,0.0,-0.7003,2024-07-01 13:13:03.058362
0.0,0.934,0.066,0.0516,2024-07-01 13:13:03.071525
0.0,0.769,0.231,0.4019,2024-07-01 13:13:03.076978
0.0,0.755,0.245,0.3818,2024-07-01 13:13:03.076978
0.0,0.791,0.209,0.4404,2024-07-01 13:13:03.076978
0.261,0.603,0.136,-0.3612,2024-07-01 13:13:03.081989
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.083063
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.087126
0.0,1.0,0.0,0.0,2024-07-01 13:13:03.090418
0.333,0.667,0.0,-0.6705,2024-07-01 13:13:03.090418
0.0,1.0,0.0,0.0,2024-07-02 13:13:03.038280
0.231,0.769,0.0,-0.3182,2024-07-02 13:13:03.038280
0.0,1.0,0.0,0.0,2024-07-02 13:13:03.038280
0.0,1.0,0.0,0.0,2024-07-02 13:13:03.052087
0.0,1.0,0.0,0.0,2024-07-02 13:13:03.055858
0.0,0.833,0.167,0.3818,2024-07-02 13:13:03.058362
0.0,0.671,0.329,0.5994,2024-07-02 13:13:03.058362
