title                                                                                                                                               datetime                     link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
[News] Samsung’s HBM3e Reportedly Passed NVIDIA’s Certification Though It Denies the Rumor                                                          2024-07-03 16:44:15.158382   news.google.com/articles/CBMiggFodHRwczovL3d3dy50cmVuZGZvcmNlLmNvbS9uZXdzLzIwMjQvMDcvMDQvbmV3cy1zYW1zdW5ncy1oYm0zZS1yZXBvcnRlZGx5LXBhc3NlZC1udmlkaWFzLWNlcnRpZmljYXRpb24tdGhvdWdoLWl0LWRlbmllcy10aGUtcnVtb3Iv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                              
Nvidia Briefly Became the Largest Company on the Stock Market. What Does This Mean for Investors?                                                   2024-07-03 16:44:15.158382   news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDI0LzA3LzAzL252aWRpYS1qdXN0LWJlY2FtZS10aGUtbGFyZ2VzdC1jb21wYW55LW9uLXRoZS1zdG9jL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                
Nvidia AI GPUs Are Flowing Into China Through Underground Network                                                                                   2024-07-03 16:44:15.158382   news.google.com/articles/CBMiXmh0dHBzOi8vd3d3LnBjbWFnLmNvbS9uZXdzL252aWRpYS1haS1ncHVzLWExMDAtc211Z2dsZWQtaW50by1jaGluYS10aHJvdWdoLXVuZGVyZ3JvdW5kLW5ldHdvcmvSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                               
Nvidia CEO Cashes in on Rally With $169 Million Share Sale                                                                                          2024-07-03 16:44:15.174020   news.google.com/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDI0LTA3LTAzL2h1YW5nLWNhc2hlcy1pbi1vbi1udmlkaWEtcy1yYWxseS13aXRoLTE2OS1taWxsaW9uLXNoYXJlLXNhbGXSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                       
Nvidia is hot. But 4 companies in the S&P 500 are on an even hotter streak                                                                          2024-07-03 16:44:15.174020   news.google.com/articles/CBMiUWh0dHBzOi8vcXouY29tL252aWRpYS1vdXRwZXJmb3JtZWQtcHJvZml0YWJpbGl0eS1vdGhlci1jb21wYW5pZXMtc3A1MDAtMTg1MTU3NTEzOdIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                
Nvidia Stock Reverses Course, Heads Higher in Wednesday Trading                                                                                     2024-07-03 16:44:15.174020   news.google.com/articles/CBMiQmh0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FydGljbGVzL252aWRpYS1zdG9jay1wcmljZS10b2RheS1lMDBmNzkwYdIBRmh0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FtcC9hcnRpY2xlcy9udmlkaWEtc3RvY2stcHJpY2UtdG9kYXktZTAwZjc5MGE?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                       
Step aside Nvidia RTX 4090, there’s a new fastest GPU in town                                                                                       2024-07-03 16:44:15.189636   news.google.com/articles/CBMiOmh0dHBzOi8vd3d3LnBjZ2FtZXNuLmNvbS9udmlkaWEvZ2Vmb3JjZS1ydHgtNDA5MC1zdXBlci1tb2TSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                               
Nvidia Has More Than Doubled This Year. How To Know When To Sell.                                                                                   2024-07-03 16:44:15.189636   news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FydGljbGVzL252aWRpYS1zdG9jay13aGVuLXRvLXNlbGwtZTBjOGI5NjLSAUdodHRwczovL3d3dy5iYXJyb25zLmNvbS9hbXAvYXJ0aWNsZXMvbnZpZGlhLXN0b2NrLXdoZW4tdG8tc2VsbC1lMGM4Yjk2Mg?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                    
Nvidia, Microsoft, Meta Warn Investors AI is a Risky Financial Bet                                                                                  2024-07-03 16:44:15.189636   news.google.com/articles/CBMieGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9uZXdzbGV0dGVycy8yMDI0LTA3LTAzL252aWRpYS1taWNyb3NvZnQtbWV0YS13YXJuLWludmVzdG9ycy10aGF0LWFpLXBvc2VzLWZpbmFuY2lhbC1yaXNrc9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                            
Nvidia is starting to act like its own asset class                                                                                                  2024-07-03 16:44:15.189636   news.google.com/articles/CBMiXWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9udmlkaWEtaXMtc3RhcnRpbmctdG8tYWN0LWxpa2UtaXRzLW93bi1hc3NldC1jbGFzcy1hMDBjOWRmZdIBYWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3RvcnkvbnZpZGlhLWlzLXN0YXJ0aW5nLXRvLWFjdC1saWtlLWl0cy1vd24tYXNzZXQtY2xhc3MtYTAwYzlkZmU?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                               
