neg,neu,pos,compound,datetime
0.203,0.797,0.0,-0.4215,2024-07-03 16:44:15.158382
0.0,1.0,0.0,0.0,2024-07-03 16:44:15.158382
0.0,1.0,0.0,0.0,2024-07-03 16:44:15.158382
0.0,0.82,0.18,0.296,2024-07-03 16:44:15.174020
0.0,1.0,0.0,0.0,2024-07-03 16:44:15.174020
0.0,1.0,0.0,0.0,2024-07-03 16:44:15.174020
0.0,1.0,0.0,0.0,2024-07-03 16:44:15.189636
0.0,1.0,0.0,0.0,2024-07-03 16:44:15.189636
0.286,0.714,0.0,-0.296,2024-07-03 16:44:15.189636
0.0,0.615,0.385,0.6124,2024-07-03 16:44:15.189636
0.0,1.0,0.0,0.0,2024-07-03 16:44:15.208838
0.0,1.0,0.0,0.0,2024-07-04 16:44:15.142715
0.0,0.424,0.576,0.8591,2024-07-04 16:44:15.142715
0.0,1.0,0.0,0.0,2024-07-04 16:44:15.142715
0.0,1.0,0.0,0.0,2024-07-04 16:44:15.142715
0.0,1.0,0.0,0.0,2024-07-04 16:44:15.142715
0.0,1.0,0.0,0.0,2024-07-04 16:44:15.158382
0.0,0.841,0.159,0.1779,2024-07-04 16:44:15.158382
0.0,1.0,0.0,0.0,2024-07-04 16:44:15.174020
0.0,1.0,0.0,0.0,2024-07-04 16:44:15.174020
0.148,0.625,0.227,0.25,2024-07-04 16:44:15.174020
0.0,0.455,0.545,0.7184,2024-07-04 16:44:15.206224
0.0,0.78,0.22,0.4767,2024-07-04 16:44:15.207295
0.0,0.867,0.133,0.3818,2024-07-04 16:44:15.207295
0.0,0.804,0.196,0.296,2024-07-04 16:44:15.213079
0.0,0.765,0.235,0.4588,2024-07-04 16:44:15.218532
0.0,1.0,0.0,0.0,2024-07-04 16:44:15.221978
0.0,1.0,0.0,0.0,2024-07-04 16:44:15.224785
0.0,1.0,0.0,0.0,2024-07-05 16:44:15.142715
0.0,1.0,0.0,0.0,2024-07-05 16:44:15.158382
0.0,0.6,0.4,0.6124,2024-07-05 16:44:15.158382
0.135,0.865,0.0,-0.1027,2024-07-05 16:44:15.158382
0.0,1.0,0.0,0.0,2024-07-05 16:44:15.158382
0.0,1.0,0.0,0.0,2024-07-05 16:44:15.174020
0.0,0.881,0.119,0.2263,2024-07-05 16:44:15.174020
0.0,1.0,0.0,0.0,2024-07-05 16:44:15.189636
0.136,0.864,0.0,-0.296,2024-07-05 16:44:15.189636
0.0,1.0,0.0,0.0,2024-07-05 16:44:15.189636
0.0,0.816,0.184,0.2023,2024-07-05 16:44:15.205184
0.0,1.0,0.0,0.0,2024-07-05 16:44:15.206224
0.132,0.588,0.279,0.4588,2024-07-05 16:44:15.214237
0.0,0.817,0.183,0.4005,2024-07-05 16:44:15.219655
0.0,1.0,0.0,0.0,2024-07-05 16:44:15.221978
0.0,1.0,0.0,0.0,2024-07-05 16:44:15.223085
0.0,1.0,0.0,0.0,2024-07-06 16:44:15.209900
0.0,1.0,0.0,0.0,2024-07-06 16:44:15.209900
0.296,0.704,0.0,-0.2732,2024-07-06 16:44:15.224785
0.0,0.69,0.31,0.4019,2024-07-07 12:28:48.573807
0.107,0.738,0.156,0.296,2024-07-07 12:28:48.582964
0.0,0.805,0.195,0.4404,2024-07-08 12:28:48.550117
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.566075
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.566075
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.566075
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.566075
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.566075
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.566075
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.566075
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.566075
0.126,0.672,0.202,0.2263,2024-07-08 12:28:48.573148
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.573807
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.573807
0.277,0.723,0.0,-0.5574,2024-07-08 12:28:48.573807
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.573807
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.573807
0.087,0.581,0.331,0.6369,2024-07-08 12:28:48.573807
0.063,0.753,0.184,0.4404,2024-07-08 12:28:48.573807
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.573807
0.0,0.826,0.174,0.2732,2024-07-08 12:28:48.573807
0.0,0.6,0.4,0.7184,2024-07-08 12:28:48.582289
0.0,0.795,0.205,0.4767,2024-07-08 12:28:48.582289
0.0,1.0,0.0,0.0,2024-07-08 12:28:48.582964
0.0,0.827,0.173,0.3182,2024-07-08 12:28:48.582964
