title                                                                                                                                                                                                                                                       datetime                     link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
___________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
The Azure Quantum Resource Estimator: An In-Depth Look at an Important Quantum Tool                                                                                                                                                                         2024-06-29 15:39:41.612688   news.google.com/articles/CBMifGh0dHBzOi8vdGhlcXVhbnR1bWluc2lkZXIuY29tLzIwMjQvMDYvMjkvdGhlLWF6dXJlLXF1YW50dW0tcmVzb3VyY2UtZXN0aW1hdG9yLWFuLWluLWRlcHRoLWxvb2stYXQtYW4taW1wb3J0YW50LXF1YW50dW0tdG9vbC_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                              
The Interplay of AI, Cybersecurity & Quantum Computing                                                                                                                                                                                                      2024-06-29 15:39:41.619481   news.google.com/articles/CBMiXWh0dHBzOi8vdGhlcXVhbnR1bWluc2lkZXIuY29tLzIwMjQvMDYvMjkvdGhlLWludGVycGxheS1vZi1haS1jeWJlcnNlY3VyaXR5LXF1YW50dW0tY29tcHV0aW5nL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                       
Tiny 'quantum memory' drum stores data sent via laser as ultrasonic vibrations                                                                                                                                                                              2024-06-30 15:39:41.652544   news.google.com/articles/CBMihAFodHRwczovL3d3dy5sYXNlcmZvY3Vzd29ybGQuY29tL29wdGljcy9hcnRpY2xlLzU1MDU1ODM3L3RpbnktcXVhbnR1bS1tZW1vcnktZHJ1bS1zdG9yZXMtZGF0YS1zZW50LXZpYS1sYXNlci1hcy11bHRyYXNvbmljLXZpYnJhdGlvbnPSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                  
VCs ‘all have this FOMO now’, says founder of AI drone startup Quantum Systems and weapons startup Stark                                                                                                                                                    2024-07-01 13:10:37.426358   news.google.com/articles/CBMiRmh0dHBzOi8vc2lmdGVkLmV1L2FydGljbGVzL3ZjLWRlZmVuY2UtdGVjaC1oeXBlLWRyb25lcy1xdWFudHVtLXN5c3RlbXPSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                      
Exploring Quantum Mpemba Effects                                                                                                                                                                                                                            2024-07-01 13:10:37.429449   news.google.com/articles/CBMiKGh0dHBzOi8vcGh5c2ljcy5hcHMub3JnL2FydGljbGVzL3YxNy8xMDXSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                              
Complete quantum toolbox for an acoustic resonator                                                                                                                                                                                                          2024-07-01 13:10:37.434564   news.google.com/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvczQxNTY3LTAyNC0wMjU0NC030gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                 
Quantum Computing Can Learn Sustainability Lessons from AI                                                                                                                                                                                                  2024-07-01 13:10:37.434564   news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LmlvdHdvcmxkdG9kYXkuY29tL3F1YW50dW0vcXVhbnR1bS1jb21wdXRpbmctY2FuLWxlYXJuLXN1c3RhaW5hYmlsaXR5LWxlc3NvbnMtZnJvbS1hadIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                   
Sandia Highlights Quantum Computers’ Superior Memory Efficiency in Math Problems                                                                                                                                                                            2024-07-01 13:10:37.434564   news.google.com/articles/CBMidWh0dHBzOi8vd3d3LmhwY3dpcmUuY29tL29mZi10aGUtd2lyZS9zYW5kaWEtaGlnaGxpZ2h0cy1xdWFudHVtLWNvbXB1dGVycy1zdXBlcmlvci1tZW1vcnktZWZmaWNpZW5jeS1pbi1tYXRoLXByb2JsZW1zL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                       
5 Best Quantum Computing Companies (July 2024)                                                                                                                                                                                                              2024-07-01 13:11:25.836023   news.google.com/articles/CBMiOWh0dHBzOi8vd3d3LnNlY3VyaXRpZXMuaW8vY29tcGFuaWVzLWluLXF1YW50dW0tY29tcHV0aW5nL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                       
