neg,neu,pos,compound,datetime
0.0,0.87,0.13,0.2023,2024-06-29 15:39:41.612688
0.0,1.0,0.0,0.0,2024-06-29 15:39:41.619481
0.0,1.0,0.0,0.0,2024-06-30 15:39:41.652544
0.146,0.854,0.0,-0.4404,2024-07-01 13:10:37.426358
0.0,1.0,0.0,0.0,2024-07-01 13:10:37.429449
0.0,1.0,0.0,0.0,2024-07-01 13:10:37.434564
0.0,1.0,0.0,0.0,2024-07-01 13:10:37.434564
0.172,0.446,0.382,0.5106,2024-07-01 13:10:37.434564
0.0,0.543,0.457,0.6369,2024-07-01 13:11:25.836023
0.205,0.455,0.341,0.2023,2024-07-01 13:11:25.842145
0.146,0.854,0.0,-0.4404,2024-07-01 13:11:25.842145
0.0,1.0,0.0,0.0,2024-07-01 13:11:25.852337
0.0,0.706,0.294,0.3612,2024-07-01 13:11:25.852337
0.0,1.0,0.0,0.0,2024-07-01 13:11:25.867213
0.0,1.0,0.0,0.0,2024-07-01 13:11:25.872125
0.0,1.0,0.0,0.0,2024-07-01 13:11:25.872125
0.0,0.851,0.149,0.2732,2024-07-01 13:11:25.872125
0.0,0.526,0.474,0.6597,2024-07-01 13:11:25.872125
0.0,1.0,0.0,0.0,2024-07-01 13:11:25.892293
0.172,0.446,0.382,0.5106,2024-07-01 14:51:21.940741
0.0,0.741,0.259,0.2732,2024-07-01 14:51:21.940741
0.0,0.902,0.098,0.0772,2024-07-01 14:51:21.941966
0.0,1.0,0.0,0.0,2024-07-01 15:39:41.612688
0.0,1.0,0.0,0.0,2024-07-01 15:39:41.647561
0.0,0.894,0.106,0.0772,2024-07-02 12:46:44.561340
0.0,1.0,0.0,0.0,2024-07-02 12:46:44.563893
0.0,0.723,0.277,0.3182,2024-07-02 12:46:44.563893
0.0,1.0,0.0,0.0,2024-07-02 12:46:44.565845
0.0,0.748,0.252,0.5719,2024-07-02 12:46:44.565845
0.0,0.787,0.213,0.4019,2024-07-02 12:46:44.566847
0.0,1.0,0.0,0.0,2024-07-02 12:46:44.566847
0.0,0.728,0.272,0.6249,2024-07-02 12:46:44.566847
0.0,0.745,0.255,0.34,2024-07-02 12:46:44.567978
0.237,0.763,0.0,-0.4215,2024-07-02 12:46:44.569099
0.0,1.0,0.0,0.0,2024-07-02 12:46:44.569099
0.0,1.0,0.0,0.0,2024-07-02 12:46:44.570088
0.231,0.769,0.0,-0.34,2024-07-02 13:10:37.424740
0.0,1.0,0.0,0.0,2024-07-02 13:10:37.424740
0.0,1.0,0.0,0.0,2024-07-02 13:10:37.426358
0.0,1.0,0.0,0.0,2024-07-02 13:10:37.426358
0.0,1.0,0.0,0.0,2024-07-02 13:10:37.429449
0.0,1.0,0.0,0.0,2024-07-02 13:10:37.429449
0.0,0.66,0.34,0.7717,2024-07-02 13:10:37.434564
0.0,1.0,0.0,0.0,2024-07-02 13:10:37.434564
0.0,0.818,0.182,0.25,2024-07-02 13:10:37.434564
0.0,1.0,0.0,0.0,2024-07-02 13:10:37.434564
0.0,0.804,0.196,0.296,2024-07-02 13:10:37.434564
0.0,1.0,0.0,0.0,2024-07-02 13:10:37.434564
0.0,1.0,0.0,0.0,2024-07-02 13:10:37.434564
0.0,1.0,0.0,0.0,2024-07-02 13:10:37.434564
0.0,0.787,0.213,0.4019,2024-07-02 13:10:37.439828
0.0,0.728,0.272,0.6249,2024-07-02 13:10:37.439828
0.0,1.0,0.0,0.0,2024-07-02 13:11:25.836023
0.0,1.0,0.0,0.0,2024-07-02 13:11:25.836023
0.0,0.704,0.296,0.2732,2024-07-02 13:11:25.836023
0.0,0.855,0.145,0.296,2024-07-02 13:11:25.836023
0.194,0.806,0.0,-0.34,2024-07-02 13:11:25.836023
0.0,0.769,0.231,0.34,2024-07-02 13:11:25.842145
0.0,1.0,0.0,0.0,2024-07-02 13:11:25.842145
0.0,0.649,0.351,0.6597,2024-07-02 13:11:25.842145
0.0,0.777,0.223,0.3182,2024-07-02 13:11:25.842145
0.0,1.0,0.0,0.0,2024-07-02 13:11:25.842145
0.0,0.569,0.431,0.6486,2024-07-02 13:11:25.852337
0.0,1.0,0.0,0.0,2024-07-02 13:11:25.868319
0.0,1.0,0.0,0.0,2024-07-02 13:11:25.872125
0.0,1.0,0.0,0.0,2024-07-02 13:11:25.872125
0.0,0.761,0.239,0.296,2024-07-02 13:11:25.883980
0.0,1.0,0.0,0.0,2024-07-02 13:11:25.883980
0.0,1.0,0.0,0.0,2024-07-02 13:11:25.883980
0.0,0.75,0.25,0.25,2024-07-02 13:11:25.883980
0.0,0.634,0.366,0.6369,2024-07-02 13:11:25.897411
0.0,1.0,0.0,0.0,2024-07-02 13:11:25.897411
0.23,0.77,0.0,-0.4912,2024-07-02 14:51:21.932815
0.0,0.552,0.448,0.8074,2024-07-02 14:51:21.935433
0.305,0.469,0.227,-0.25,2024-07-02 14:51:21.940741
0.085,0.915,0.0,-0.0772,2024-07-02 15:37:32.419468
0.0,1.0,0.0,0.0,2024-07-02 15:39:41.612688
0.0,0.588,0.412,0.6369,2024-07-02 15:39:41.642016
0.0,1.0,0.0,0.0,2024-07-03 12:46:44.567978
0.0,1.0,0.0,0.0,2024-07-03 12:46:44.569099
0.0,0.872,0.128,0.296,2024-07-03 13:10:37.426358
0.0,1.0,0.0,0.0,2024-07-03 13:10:37.426358
0.0,0.87,0.13,0.128,2024-07-03 13:10:37.429449
0.0,0.813,0.187,0.3182,2024-07-03 13:10:37.434564
0.294,0.706,0.0,-0.3612,2024-07-03 13:10:37.434564
0.0,0.87,0.13,0.0516,2024-07-03 13:17:59.592145
0.0,1.0,0.0,0.0,2024-07-03 13:17:59.597156
0.0,1.0,0.0,0.0,2024-07-03 13:17:59.597156
0.0,0.872,0.128,0.296,2024-07-03 13:17:59.602395
0.0,0.87,0.13,0.2023,2024-07-03 13:17:59.602395
0.0,1.0,0.0,0.0,2024-07-03 13:17:59.612138
0.0,0.839,0.161,0.3612,2024-07-03 13:17:59.615154
0.0,1.0,0.0,0.0,2024-07-03 13:17:59.622300
0.0,1.0,0.0,0.0,2024-07-03 13:17:59.622300
0.0,0.761,0.239,0.296,2024-07-03 13:17:59.628457
0.0,0.87,0.13,0.128,2024-07-03 13:17:59.632718
0.0,0.791,0.209,0.4404,2024-07-03 13:17:59.632718
0.0,0.85,0.15,0.3182,2024-07-03 13:17:59.637278
0.0,1.0,0.0,0.0,2024-07-03 13:17:59.637278
0.0,1.0,0.0,0.0,2024-07-03 13:17:59.642534
0.0,1.0,0.0,0.0,2024-07-03 13:17:59.642534
0.0,1.0,0.0,0.0,2024-07-03 13:17:59.651243
0.0,1.0,0.0,0.0,2024-07-03 13:17:59.652245
0.0,1.0,0.0,0.0,2024-07-03 13:17:59.652913
0.0,1.0,0.0,0.0,2024-07-03 13:17:59.654961
0.0,1.0,0.0,0.0,2024-07-03 14:51:21.935433
0.0,0.588,0.412,0.6808,2024-07-03 15:39:41.599189
0.145,0.855,0.0,-0.5233,2024-07-04 00:07:15.725688
0.0,0.857,0.143,0.25,2024-07-04 00:07:15.725688
0.0,0.777,0.223,0.3182,2024-07-04 00:07:15.757127
0.0,1.0,0.0,0.0,2024-07-04 00:07:15.757127
0.0,0.708,0.292,0.5106,2024-07-04 00:07:15.757127
0.0,0.891,0.109,0.0258,2024-07-04 00:07:15.757127
0.0,1.0,0.0,0.0,2024-07-04 00:07:15.757127
0.0,0.649,0.351,0.4019,2024-07-04 13:10:37.426358
0.327,0.673,0.0,-0.5267,2024-07-04 13:10:37.434564
0.0,1.0,0.0,0.0,2024-07-04 13:10:37.439828
0.0,0.748,0.252,0.4019,2024-07-04 13:17:59.583994
0.0,1.0,0.0,0.0,2024-07-04 13:17:59.599167
0.202,0.565,0.234,0.1027,2024-07-04 13:17:59.602395
0.0,0.513,0.487,0.6908,2024-07-04 13:17:59.622300
0.0,1.0,0.0,0.0,2024-07-04 13:17:59.622300
0.0,1.0,0.0,0.0,2024-07-04 13:17:59.622300
0.0,0.663,0.337,0.7269,2024-07-04 13:17:59.628326
0.0,1.0,0.0,0.0,2024-07-04 13:17:59.628457
0.0,1.0,0.0,0.0,2024-07-04 13:17:59.637278
0.0,1.0,0.0,0.0,2024-07-04 13:17:59.637278
0.0,1.0,0.0,0.0,2024-07-04 13:17:59.637278
0.0,0.827,0.173,0.3182,2024-07-04 13:17:59.637278
0.0,0.548,0.452,0.3182,2024-07-04 13:17:59.642534
0.0,1.0,0.0,0.0,2024-07-04 13:17:59.649115
0.0,0.732,0.268,0.296,2024-07-04 13:17:59.650245
0.0,0.685,0.315,0.3182,2024-07-04 13:17:59.650245
0.0,0.88,0.12,0.0935,2024-07-04 13:17:59.654961
0.0,0.769,0.231,0.34,2024-07-04 14:33:48.779059
0.187,0.597,0.216,0.1027,2024-07-04 14:33:48.779059
0.0,0.901,0.099,0.0258,2024-07-04 14:33:48.779059
0.0,0.821,0.179,0.34,2024-07-04 14:33:48.779059
0.0,1.0,0.0,0.0,2024-07-04 14:33:48.779059
0.0,0.734,0.266,0.2263,2024-07-04 14:33:48.779059
0.0,1.0,0.0,0.0,2024-07-04 14:33:48.779059
0.0,0.745,0.255,0.34,2024-07-04 14:33:48.784190
0.0,0.754,0.246,0.5994,2024-07-04 14:33:48.784190
0.0,1.0,0.0,0.0,2024-07-04 14:33:48.784190
0.0,1.0,0.0,0.0,2024-07-04 14:33:48.784190
0.0,1.0,0.0,0.0,2024-07-04 14:33:48.784190
0.0,0.776,0.224,0.3818,2024-07-04 14:33:48.784190
0.0,0.647,0.353,0.5994,2024-07-04 14:33:48.784190
0.0,0.68,0.32,0.5106,2024-07-04 14:33:48.784190
0.0,1.0,0.0,0.0,2024-07-04 14:33:48.784190
