title                                                                                                                  datetime                     link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
Tesla sales fall for second straight quarter despite price cuts                                                        2024-07-03 16:34:01.488991   news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5L2FydGljbGUvMjAyNC9qdWwvMDIvdGVzbGEtc2Vjb25kLXF1YXJ0ZXItc2FsZXPSAVVodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vdGVjaG5vbG9neS9hcnRpY2xlLzIwMjQvanVsLzAyL3Rlc2xhLXNlY29uZC1xdWFydGVyLXNhbGVz?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                 
2024 Tesla Model 3 Review: No Longer a Trailblazer                                                                     2024-07-03 16:34:01.488991   news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnRoZWRyaXZlLmNvbS9jYXItcmV2aWV3cy8yMDI0LXRlc2xhLW1vZGVsLTMtcmV2aWV30gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                 
Tesla’s stock is on a huge run. Here’s why one bear isn’t buying the ‘euphoria.’                                       2024-07-03 16:34:01.504624   news.google.com/articles/CBMidGh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS90ZXNsYXMtc3RvY2staXMtb24tYS1odWdlLXJ1bi1oZXJlcy13aHktb25lLWJlYXItaXNudC1idXlpbmctdGhlLWV1cGhvcmlhLTM4Y2ZlODU10gF4aHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS90ZXNsYXMtc3RvY2staXMtb24tYS1odWdlLXJ1bi1oZXJlcy13aHktb25lLWJlYXItaXNudC1idXlpbmctdGhlLWV1cGhvcmlhLTM4Y2ZlODU1?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                         
Tesla bull Cathie Wood's ARK just sold $15 million worth of the stock                                                  2024-07-03 16:34:01.504624   news.google.com/articles/CBMiTWh0dHBzOi8vcXouY29tL2NhdGhpZS13b29kLXMtYXJrLXNlbGxzLXRlc2xhLXNoYXJlcy1mb3ItMTUtbWlsbGlvbi0xODUxNTc1MzQ00gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                             
Tesla stock surges as quarterly vehicle deliveries beat Wall Street estimates                                          2024-07-03 16:34:01.520134   news.google.com/articles/CBMie2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy90ZXNsYS1zdG9jay1zdXJnZXMtYXMtcXVhcnRlcmx5LXZlaGljbGUtZGVsaXZlcmllcy1iZWF0LXdhbGwtc3RyZWV0LWVzdGltYXRlcy0yMDExMjM0NTIuaHRtbNIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                               
Tesla brings back free Supercharging incentive to drive Q3 sales                                                       2024-07-03 16:34:01.520134   news.google.com/articles/CBMiYmh0dHBzOi8vZHJpdmV0ZXNsYWNhbmFkYS5jYS9uZXdzL3Rlc2xhLWJyaW5ncy1iYWNrLWZyZWUtc3VwZXJjaGFyZ2luZy1pbmNlbnRpdmUtdG8tZHJpdmUtcTMtc2FsZXMv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                 
Cathie Wood’s ETFs sell Tesla’s stock for the first time in 9 months                                                   2024-07-03 16:34:01.520134   news.google.com/articles/CBMibWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS9jYXRoaWUtd29vZHMtZXRmcy1zZWxsLXRlc2xhcy1zdG9jay1mb3ItdGhlLWZpcnN0LXRpbWUtaW4tOS1tb250aHMtM2Y2ZTZkZGLSAXFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vYW1wL3N0b3J5L2NhdGhpZS13b29kcy1ldGZzLXNlbGwtdGVzbGFzLXN0b2NrLWZvci10aGUtZmlyc3QtdGltZS1pbi05LW1vbnRocy0zZjZlNmRkYg?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                           
Tesla Approaches Highest Share Price of 2024 as Analysts Raise Price Targets                                           2024-07-03 16:34:01.536167   news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vdGVzbGEtYXBwcm9hY2hlcy1oaWdoZXN0LXNoYXJlLXByaWNlLW9mLTIwMjQtYW1pZC1ldi1yYWxseS04NjczMzMw0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                     
Tesla deliveries are being ‘overanalyzed’ by investors, says RBC Capital’s Tom Narayan                                 2024-07-03 16:34:01.536167   news.google.com/articles/CBMifWh0dHBzOi8vd3d3LmNuYmMuY29tL3ZpZGVvLzIwMjQvMDcvMDMvdGVzbGEtZGVsaXZlcmllcy1hcmUtYmVpbmctb3ZlcmFuYWx5emVkLWJ5LWludmVzdG9ycy1zYXlzLXJiYy1jYXBpdGFscy10b20tbmFyYXlhbi5odG1s0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                             
