neg,neu,pos,compound,datetime
0.0,0.679,0.321,0.4191,2024-07-03 16:34:01.488991
0.268,0.732,0.0,-0.296,2024-07-03 16:34:01.488991
0.0,0.85,0.15,0.3182,2024-07-03 16:34:01.504624
0.0,0.863,0.137,0.2263,2024-07-03 16:34:01.504624
0.0,1.0,0.0,0.0,2024-07-03 16:34:01.520134
0.0,0.58,0.42,0.7003,2024-07-03 16:34:01.520134
0.0,1.0,0.0,0.0,2024-07-03 16:34:01.520134
0.0,0.833,0.167,0.296,2024-07-03 16:34:01.536167
0.0,1.0,0.0,0.0,2024-07-03 16:34:01.536167
0.0,1.0,0.0,0.0,2024-07-03 16:34:01.536167
0.149,0.663,0.188,0.1779,2024-07-03 16:34:01.567436
0.0,1.0,0.0,0.0,2024-07-03 16:34:01.567436
0.0,0.667,0.333,0.4588,2024-07-03 16:34:01.583067
0.0,1.0,0.0,0.0,2024-07-03 16:34:01.583067
0.0,1.0,0.0,0.0,2024-07-03 16:34:01.583067
0.0,1.0,0.0,0.0,2024-07-03 16:34:01.583067
0.0,1.0,0.0,0.0,2024-07-03 16:34:01.583067
0.0,1.0,0.0,0.0,2024-07-03 16:34:01.598686
0.0,1.0,0.0,0.0,2024-07-03 16:34:01.598686
0.167,0.833,0.0,-0.1027,2024-07-03 16:34:01.598686
0.337,0.562,0.1,-0.7096,2024-07-03 16:34:01.598686
0.151,0.849,0.0,-0.1531,2024-07-03 16:34:01.598686
0.0,1.0,0.0,0.0,2024-07-04 16:34:01.504624
0.0,1.0,0.0,0.0,2024-07-04 16:34:01.520134
0.0,1.0,0.0,0.0,2024-07-04 16:34:01.536167
0.0,0.611,0.389,0.6249,2024-07-04 16:34:01.567436
0.0,1.0,0.0,0.0,2024-07-04 16:34:01.567436
0.15,0.85,0.0,-0.3182,2024-07-04 16:34:01.583067
0.0,1.0,0.0,0.0,2024-07-04 16:34:01.583067
0.0,1.0,0.0,0.0,2024-07-04 16:34:01.598686
0.157,0.843,0.0,-0.3818,2024-07-04 16:34:01.619103
0.0,1.0,0.0,0.0,2024-07-04 16:34:01.623778
0.0,0.851,0.149,0.1027,2024-07-04 16:34:01.628213
0.0,1.0,0.0,0.0,2024-07-05 16:34:01.488991
0.0,1.0,0.0,0.0,2024-07-05 16:34:01.504624
0.173,0.675,0.152,-0.128,2024-07-05 16:34:01.504624
0.0,1.0,0.0,0.0,2024-07-05 16:34:01.520134
0.0,0.592,0.408,0.7096,2024-07-05 16:34:01.529148
0.0,1.0,0.0,0.0,2024-07-05 16:34:01.536167
0.148,0.71,0.142,-0.0258,2024-07-05 16:34:01.536167
0.0,0.769,0.231,0.4019,2024-07-05 16:34:01.567436
0.364,0.636,0.0,-0.4588,2024-07-05 16:34:01.583067
0.0,0.878,0.122,0.3612,2024-07-05 16:34:01.598686
0.0,1.0,0.0,0.0,2024-07-05 16:34:01.598686
0.0,1.0,0.0,0.0,2024-07-05 16:34:01.621632
0.0,0.812,0.188,0.5719,2024-07-06 16:34:01.488991
0.0,1.0,0.0,0.0,2024-07-06 16:34:01.504624
0.0,1.0,0.0,0.0,2024-07-06 16:34:01.520134
0.0,1.0,0.0,0.0,2024-07-06 16:34:01.529148
0.0,0.773,0.227,0.6124,2024-07-06 16:34:01.598686
0.0,1.0,0.0,0.0,2024-07-06 16:34:01.624300
0.0,1.0,0.0,0.0,2024-07-07 16:33:47.020351
0.0,1.0,0.0,0.0,2024-07-07 16:33:47.036878
0.0,1.0,0.0,0.0,2024-07-07 16:34:01.529148
0.0,0.688,0.312,0.7096,2024-07-07 16:34:01.536167
0.0,0.813,0.187,0.3182,2024-07-07 16:34:01.567436
0.0,1.0,0.0,0.0,2024-07-07 16:34:01.567436
0.0,1.0,0.0,0.0,2024-07-07 16:34:01.567436
0.0,1.0,0.0,0.0,2024-07-07 16:34:01.626158
0.0,0.606,0.394,0.4404,2024-07-08 16:33:46.973073
0.0,1.0,0.0,0.0,2024-07-08 16:33:46.973073
0.0,1.0,0.0,0.0,2024-07-08 16:33:46.988702
0.101,0.791,0.108,0.0258,2024-07-08 16:33:47.005330
0.0,1.0,0.0,0.0,2024-07-08 16:33:47.005330
0.0,0.755,0.245,0.3818,2024-07-08 16:33:47.020351
0.135,0.643,0.222,0.3612,2024-07-08 16:33:47.020351
0.0,1.0,0.0,0.0,2024-07-08 16:33:47.036878
0.0,0.722,0.278,0.4019,2024-07-08 16:33:47.036878
0.0,1.0,0.0,0.0,2024-07-08 16:33:47.036878
0.15,0.636,0.214,0.2732,2024-07-08 16:33:47.036878
0.0,0.787,0.213,0.2263,2024-07-08 16:33:47.036878
0.0,1.0,0.0,0.0,2024-07-08 16:33:47.051988
