title                                                                                                              datetime                     link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
U.S. Security Cooperation with Ukraine                                                                             2024-07-03 15:32:35.044852   news.google.com/articles/CBMiPGh0dHBzOi8vd3d3LnN0YXRlLmdvdi91LXMtc2VjdXJpdHktY29vcGVyYXRpb24td2l0aC11a3JhaW5lL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                             
Would the USA still be alive if it had played in Euro 2024?                                                        2024-07-03 15:32:35.048138   news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LmZveHNwb3J0cy5jb20vc3Rvcmllcy9zb2NjZXIvd291bGQtdXNhLXN0aWxsLWFsaXZlLWlmLWl0LWhhZC1wbGF5ZWQtZXVyby0yMDI00gFZaHR0cHM6Ly9hbXAuZm94c3BvcnRzLmNvbS9zdG9yaWVzL3NvY2Nlci93b3VsZC11c2Etc3RpbGwtYWxpdmUtaWYtaXQtaGFkLXBsYXllZC1ldXJvLTIwMjQ?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                
Some Caribbean islands see almost 'total destruction' after Hurricane Beryl                                        2024-07-03 15:32:35.048138   news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9uZXdzL25hdGlvbi8yMDI0LzA3LzAzL2h1cnJpY2FuZS1iZXJ5bC1kZXN0cnVjdGlvbi1pc2xhbmRzLzc0Mjk2ODE3MDA3L9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                     
Team USA unveils Olympic basketball jerseys                                                                        2024-07-03 15:32:35.048138   news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmVzcG4uY29tL25iYS9zdG9yeS9fL2lkLzQwNDkxNDI2L3RlYW0tdXNhLWJhc2tldGJhbGwtMjAyNC1vbHltcGljc9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                     
The Inside Story - USA Votes 2024 | 151                                                                            2024-07-03 15:32:35.048138   news.google.com/articles/CBMiJmh0dHBzOi8vd3d3LnZvYW5ld3MuY29tL2EvNzY4MzY5My5odG1s0gEoaHR0cHM6Ly93d3cudm9hbmV3cy5jb20vYW1wLzc2ODM2OTMuaHRtbA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                     
USA Lacrosse Announces 2024 High School Girls' All-Academic Honorees                                               2024-07-03 15:32:35.048138   news.google.com/articles/CBMiemh0dHBzOi8vd3d3LnVzYWxhY3Jvc3NlLmNvbS9tYWdhemluZS9oaWdoLXNjaG9vbC9naXJscy91c2EtbGFjcm9zc2UtYW5ub3VuY2VzLTIwMjQtaGlnaC1zY2hvb2wtZ2lybHMtYWxsLWFjYWRlbWljLWhvbm9yZWVz0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                           
Hurricane Beryl tracker: See projected path of Category 4 storm as it heads toward Jamaica                         2024-07-03 15:32:35.063146   news.google.com/articles/CBMibmh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9uZXdzL3dlYXRoZXIvMjAyNC8wNy8wMy9odXJyaWNhbmUtYmVyeWwtdHJhY2tlci1tYXAtcHJvamVjdGVkLXBhdGgvNzQyODg3NTkwMDcv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                           
Brzustewicz and Hayes named to USA Hockey’s 2024 Hlinka Gretzky Cup Camp roster                                    2024-07-03 15:32:35.063146   news.google.com/articles/CBMiamh0dHBzOi8vY2hsLmNhL29obC9hcnRpY2xlL2JyenVzdGV3aWN6LWFuZC1oYXllcy1uYW1lZC10by11c2EtaG9ja2V5cy0yMDI0LWhsaW5rYS1ncmV0emt5LWN1cC1jYW1wLXJvc3Rlci_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                
Delta flight to Amsterdam diverted over spoiled food, 12 passengers evaluated                                      2024-07-03 15:32:35.063146   news.google.com/articles/CBMidmh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS90cmF2ZWwvYWlybGluZS1uZXdzLzIwMjQvMDcvMDMvZGVsdGEtZmxpZ2h0LWVtZXJnZW5jeS1sYW5kaW5nLXNwb2lsZWQtZm9vZC83NDI4ODgwNTAwNy_SAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                
