neg,neu,pos,compound,datetime
0.0,0.625,0.375,0.34,2024-07-03 15:32:35.044852
0.0,0.688,0.312,0.6124,2024-07-03 15:32:35.048138
0.275,0.725,0.0,-0.5302,2024-07-03 15:32:35.048138
0.0,1.0,0.0,0.0,2024-07-03 15:32:35.048138
0.0,1.0,0.0,0.0,2024-07-03 15:32:35.048138
0.0,0.708,0.292,0.5106,2024-07-03 15:32:35.048138
0.0,1.0,0.0,0.0,2024-07-03 15:32:35.063146
0.0,1.0,0.0,0.0,2024-07-03 15:32:35.063146
0.0,1.0,0.0,0.0,2024-07-03 15:32:35.063146
0.0,1.0,0.0,0.0,2024-07-03 15:32:35.063146
0.0,1.0,0.0,0.0,2024-07-03 15:32:35.079522
0.0,1.0,0.0,0.0,2024-07-04 15:32:35.031343
0.0,1.0,0.0,0.0,2024-07-04 15:32:35.031343
0.286,0.714,0.0,-0.4215,2024-07-04 15:32:35.048138
0.0,1.0,0.0,0.0,2024-07-04 15:32:35.048138
0.0,0.732,0.268,0.5106,2024-07-04 15:32:35.063146
0.223,0.777,0.0,-0.3182,2024-07-04 15:32:35.063146
0.205,0.464,0.331,0.2263,2024-07-04 15:32:35.063146
0.0,0.703,0.297,0.5859,2024-07-04 15:32:35.063146
0.0,1.0,0.0,0.0,2024-07-04 15:32:35.079522
0.0,1.0,0.0,0.0,2024-07-04 15:32:35.079522
0.552,0.448,0.0,-0.8126,2024-07-05 15:32:35.031343
0.0,1.0,0.0,0.0,2024-07-05 15:32:35.047631
0.0,0.775,0.225,0.4404,2024-07-05 15:32:35.048138
0.0,1.0,0.0,0.0,2024-07-05 15:32:35.048138
0.0,1.0,0.0,0.0,2024-07-05 15:32:35.048138
0.0,1.0,0.0,0.0,2024-07-05 15:32:35.063146
0.0,1.0,0.0,0.0,2024-07-05 15:32:35.063146
0.141,0.859,0.0,-0.3182,2024-07-05 15:32:35.063146
0.0,1.0,0.0,0.0,2024-07-05 15:32:35.063146
0.0,1.0,0.0,0.0,2024-07-05 15:32:35.063146
0.0,1.0,0.0,0.0,2024-07-05 15:32:35.063146
0.0,0.711,0.289,0.7579,2024-07-05 15:32:35.079522
0.462,0.427,0.111,-0.6249,2024-07-05 15:32:35.079522
0.0,0.588,0.412,0.4215,2024-07-05 15:32:35.079522
0.0,1.0,0.0,0.0,2024-07-05 15:32:35.079522
0.206,0.794,0.0,-0.3818,2024-07-05 15:32:35.079522
0.0,1.0,0.0,0.0,2024-07-05 15:32:35.079522
0.0,0.902,0.098,0.0516,2024-07-06 15:32:35.063146
0.0,1.0,0.0,0.0,2024-07-06 15:32:35.063146
0.0,0.79,0.21,0.6444,2024-07-06 15:32:35.079522
0.119,0.881,0.0,-0.2263,2024-07-06 15:32:35.079522
0.0,1.0,0.0,0.0,2024-07-06 15:33:26.111995
0.138,0.862,0.0,-0.1531,2024-07-06 15:33:26.143949
0.0,1.0,0.0,0.0,2024-07-07 15:32:35.079522
0.0,0.857,0.143,0.25,2024-07-07 15:32:35.079522
0.0,1.0,0.0,0.0,2024-07-07 15:32:35.079522
0.0,0.8,0.2,0.4588,2024-07-07 15:32:35.079522
0.085,0.915,0.0,-0.0516,2024-07-07 15:33:26.096237
