title,compound,datetime
U.S. Security Cooperation with Ukraine,0.34,2024-07-03 15:32:35.044852
Would the USA still be alive if it had played in Euro 2024?,0.6124,2024-07-03 15:32:35.048138
Some Caribbean islands see almost 'total destruction' after Hurricane Beryl,-0.5302,2024-07-03 15:32:35.048138
Team USA unveils Olympic basketball jerseys,0.0,2024-07-03 15:32:35.048138
The Inside Story - USA Votes 2024 | 151,0.0,2024-07-03 15:32:35.048138
USA Lacrosse Announces 2024 High School Girls' All-Academic Honorees,0.5106,2024-07-03 15:32:35.048138
Hurricane Beryl tracker: See projected path of Category 4 storm as it heads toward Jamaica,0.0,2024-07-03 15:32:35.063146
Brzustewicz and Hayes named to USA Hockey’s 2024 Hlinka Gretzky Cup Camp roster,0.0,2024-07-03 15:32:35.063146
"Delta flight to Amsterdam diverted over spoiled food, 12 passengers evaluated",0.0,2024-07-03 15:32:35.063146
"Ozempic, Wegovy linked to rare condition that can cause blindness, study says",0.0,2024-07-03 15:32:35.063146
Impacts may be 'catastrophic' as Hurricane Beryl pounds Jamaica: Live updates,0.0,2024-07-03 15:32:35.079522
USA: Alabama’s third execution of 2024 imminent,0.0,2024-07-04 15:32:35.031343
"Noah Lyles, Sha'Carri Richardson bring the drama at U.S.A. Olympic trials | Athletics North",0.0,2024-07-04 15:32:35.031343
USA recurve men’s team disqualified from Antalya results,-0.4215,2024-07-04 15:32:35.048138
These people still believe in democracy (little d) and are working to keep it.,0.0,2024-07-04 15:32:35.048138
"Hurricane Beryl churning toward Mexico with strong winds, heavy rain",0.5106,2024-07-04 15:32:35.063146
Marsch: 'Lack of discipline' led to U.S. Copa exit,-0.3182,2024-07-04 15:32:35.063146
United States - Share of global gross domestic product (GDP) 2029,0.2263,2024-07-04 15:32:35.063146
Team USA Throws Combined No-Hitter in Win Over Chinese Taipei,0.5859,2024-07-04 15:32:35.063146
Premier League teams touring USA for summer 2024 preseason,0.0,2024-07-04 15:32:35.079522
Canadian Men's Basketball: Canada @ USA,0.0,2024-07-04 15:32:35.079522
Reported violent crime rate in the U.S. 1990-2022,-0.8126,2024-07-05 15:32:35.031343
2024 USA 3x3 Nations League Teams Announced,0.0,2024-07-05 15:32:35.047631
Wallpaper* USA 400: meet the people shaping Creative America in 2024,0.4404,2024-07-05 15:32:35.048138
U.S. Relations With Venezuela,0.0,2024-07-05 15:32:35.048138
USA: And so it begins...,0.0,2024-07-05 15:32:35.048138
U.S. full-time employees 1990-2023,0.0,2024-07-05 15:32:35.063146
40 Team USA athletes to watch in the 2024 Paris Olympics,0.0,2024-07-05 15:32:35.063146
USA Defeats Canada to Advance to Semifinals at the 2024 FIBA U17 Men’s World Cup,-0.3182,2024-07-05 15:32:35.063146
USA Basketball men’s Olympic team arrives for camp in Las Vegas,0.0,2024-07-05 15:32:35.063146
National Fried Chicken Day is Saturday: Here's where to find food deals and discounts,0.0,2024-07-05 15:32:35.063146
Average size of households in the U.S. 1960-2023,0.0,2024-07-05 15:32:35.063146
"LeBron James off Team USA’s bench? Unlikely, but welcome to life on the modern Dream Team - The Athletic",0.7579,2024-07-05 15:32:35.079522
USA - number of arrests for all offenses 1990-2022,-0.6249,2024-07-05 15:32:35.079522
TotalEnergies in the United States,0.4215,2024-07-05 15:32:35.079522
Texas under hurricane watch after Beryl makes landfall on Yucatan,0.0,2024-07-05 15:32:35.079522
"Large fight breaks out on Carnival cruise ship, video footage shows",-0.3818,2024-07-05 15:32:35.079522
Report: Lakers' LeBron James Unlikely to Come Off Bench for Team USA at 2024 Olympics,0.0,2024-07-05 15:32:35.079522
Team USA dominates Sunday Singles to retain Arnold Palmer Cup in Ireland,0.0516,2024-07-06 15:32:35.063146
Jessica Springsteen doesn't qualify for US equestrian team at Paris Olympics,0.0,2024-07-06 15:32:35.063146
The Most Dramatic Casa Amor Moments From ‘Love Island UK’ and ‘Love Island USA’ Through the Years,0.6444,2024-07-06 15:32:35.079522
Jayson Tatum misses start of USA Basketball camp in Las Vegas due to personal reasons,-0.2263,2024-07-06 15:32:35.079522
"USA train keeps rolling, blows out New Zealand with more records",0.0,2024-07-06 15:33:26.111995
Five Real Madrid stars set to miss the USA pre-season tour,-0.1531,2024-07-06 15:33:26.143949
10-year veteran Kevin Pillar says he's likely to retire after 2024 MLB season,0.0,2024-07-07 15:32:35.079522
Who is Emma Navarro? Meet the American who advanced to the Wimbledon quarterfinals,0.25,2024-07-07 15:32:35.079522
"USA Men Basketball's Group Stage Opponents, Schedule for 2024 Paris Olympics Set",0.0,2024-07-07 15:32:35.079522
Beryl strengthens to Cat 1 hurricane as Texas coast residents brace for impact: Updates,0.4588,2024-07-07 15:32:35.079522
Kevin Durant day-to-day with calf strain as USA Basketball preps for 2024 Paris Olympics,-0.0516,2024-07-07 15:33:26.096237
Healthy Kawhi 'having a good time' with Team USA,0.6808,2024-07-07 15:33:26.096237
Mission accomplished: USA defeat Italy for 7th undefeated title,-0.0258,2024-07-07 15:33:26.143949
FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024 - RACE RESULT,0.5766,2024-07-07 15:33:26.143949
USA roster: 10 MLS players called for 2024 Paris Olympics,0.0,2024-07-08 15:32:35.079522
Flagg's 'no fear' approach draws Team USA raves,-0.6597,2024-07-08 15:33:26.096237
Biden? Harris? I don't care. Stopping Trump and Project 2025 is all that matters.,-0.3493,2024-07-08 15:33:26.096237
Trending Topics: Who should start for Team USA at Paris Olympics?,0.0,2024-07-08 15:33:26.096237
Gen Z is experiencing 'tattoo regret.' Social media may be to blame.,-0.34,2024-07-08 15:33:26.096237
Edwards: I'm the 'No. 1 option' on Team USA,0.0,2024-07-08 15:33:26.111995
Who’s Running for President in 2024?,0.0,2024-07-08 15:33:26.111995
Is the 2024 USA men's basketball team better than the 1992 'Dream Team'?,0.5994,2024-07-08 15:33:26.111995
Meet the Climbers on Team USA!,0.0,2024-07-08 15:33:26.111995
Why 'Bachelorette' Jenn Tran only kissed Sam M. during premiere: 'OK to just say no',0.516,2024-07-08 15:33:26.111995
Timberwolves' Anthony Edwards calls himself 'No. 1 option' on Team USA,0.0,2024-07-08 15:33:26.111995
"When will Anthony Edwards play for Team USA? USA Basketball Showcase schedule, TV channel, updated results",0.34,2024-07-08 15:33:26.111995
'Love Island USA' Season 6: Where to watch tonight's spicy episode,0.6369,2024-07-08 15:33:26.111995
"United Airlines plane loses tire during takeoff from LA, lands in Denver safely",0.5719,2024-07-08 15:33:26.111995
"Hurricane Beryl tracker: Storm makes landfall in Texas, see spaghetti models, path",0.0,2024-07-08 15:33:26.127011
Cooper Flagg wows during scrimmage against USA Olympic Team,0.4588,2024-07-08 15:33:26.127011
Bradley to captain USA at 2025 Ryder Cup,0.0,2024-07-08 15:33:26.127011
Jennifer Lopez shares 2021 breakup song amid Ben Affleck divorce rumors,0.296,2024-07-08 15:33:26.127011
David Byrne: Why radio should pay singers like Beyoncé and Willie Nelson,0.2732,2024-07-08 15:33:26.127011
Chinese risk perilous journey in search of ‘freedom’ in the United States,0.1779,2024-07-08 15:33:26.127011
Man dies of 'massive head trauma' after lighting firework off Uncle Sam top hat on July 4th,-0.25,2024-07-08 15:33:26.127011
Potential 2025 No. 1 Draft pick Cooper Flagg steals the show among Team USA stars,-0.6705,2024-07-08 15:33:26.127011
Keegan Bradley Named Team USA Captain for 2025 Ryder Cup After Tiger Woods Rumors,0.0,2024-07-08 15:33:26.127011
Biden to Democrats in Congress: 'I am firmly committed to staying in this race',0.2732,2024-07-08 15:33:26.127011
"Charasika scores four in USA win as Chile, Argentina enjoy Day 4 wins",0.8934,2024-07-08 15:33:26.127011
"Over 2,000 pounds of Al-Safa frozen chicken products recalled for listeria risk",-0.2732,2024-07-08 15:33:26.138571
Track tornado warnings across Texas as Hurricane Beryl remnants spawn severe weather,-0.5859,2024-07-08 15:33:26.143949
Jrue Holiday says Celtics title sparked ‘competitive’ discussion with Team USA teammates,0.4019,2024-07-08 15:33:26.143949
"2024 Paris Olympics men's basketball power rankings: Team USA in own class, but who is biggest competition?",0.0,2024-07-08 15:33:26.143949
Projected USA Four Nations Roster Filled With Surprises,0.2263,2024-07-08 15:33:26.143949
When is Team USA's first game? How to watch the latest Dream Team this summer,0.25,2024-07-08 15:33:26.143949
Is Anthony Edwards Team USA's Top Scorer? Power Ranking Potential No. 1 Options,-0.1027,2024-07-08 15:33:26.158964
Report: Tiger Woods Declined Offer to Be Team USA Captain for 2025 Ryder Cup,0.0,2024-07-08 15:33:26.158964
"Duke's Cooper Flagg shines vs Team USA basketball, goes viral on social media",0.0,2024-07-08 15:33:26.158964
Beryl kills at least 4 in Texas as more than 2M remain without power: Live updates,-0.5423,2024-07-08 15:33:26.158964
Here's the US women's basketball team's full exhibition and Olympic schedule,0.0,2024-07-08 15:33:26.158964
Select team straw poll: LeBron voted Team USA's best in camp,0.6369,2024-07-09 15:32:24.495708
Gary Astalos Named Head Coach of Team USA Men's Ice Hockey for 2025 World University Games,0.0,2024-07-09 15:32:24.512530
'Bob's Burgers' actor Jay Johnston pleads guilty in Capitol riot case,-0.7506,2024-07-09 15:32:24.512886
"Spain vs. France: What to know, how to watch UEFA Euro 2024 semifinal",0.0,2024-07-09 15:32:24.529607
Delta brings the epic journeys of Team USA to life in new campaign for Paris 2024,0.0,2024-07-09 15:32:24.529607
Why Canada has a unique advantage over the USA and everyone else in the Olympics,0.25,2024-07-09 15:32:24.529607
Bruce Springsteen’s ‘Born In The U.S.A.’ Is A Top 10 Smash In America Again,0.2023,2024-07-09 15:32:24.529607
"Argentina vs. Canada | Jul 9, 2024 | Copa America USA 2024 | TSN Canada",0.0,2024-07-09 15:32:24.545886
2024 Copa America: How to watch Uruguay battle Colombia in the semifinal,-0.3818,2024-07-09 15:32:24.546891
How to get a dozen Krispy Kreme doughnuts for 87 cents,0.0,2024-07-09 15:32:24.546891
‘Love Island USA’ Fans Find Screenshots of Daia’s Alleged Interest in Odell Beckham Jr.,0.4588,2024-07-09 15:32:24.548244
JetBlue promo offers 25% off most flights this fall. Here's what to know.,0.0,2024-07-09 15:32:24.548244
"Are tampons safe or harmful? Study finds that tampons contain arsenic, lead, other metals",0.4404,2024-07-09 15:32:24.549450
"How to watch Euro 2024 in USA: Live streams, TV channels, full schedule & more",0.0,2024-07-09 15:32:24.549450
"At USA Basketball camp, teenage prodigy Cooper Flagg steals the show",-0.5106,2024-07-09 15:32:24.549450
"TIFF announces five more World Premieres from Canada, France, India, UK, and USA",0.0,2024-07-09 15:33:26.079706
Every NBA player expected to compete in Paris Olympics,0.0,2024-07-09 15:33:26.096237
It is way too hot. 160 million under alert as heat breaks records and a bridge,0.296,2024-07-09 15:33:26.096237
Canada's Dillon Brooks opens up on Team USA before pre-Olympics exhibition: 'We want the gold',0.0772,2024-07-09 15:33:26.096237
US track and field Olympic team announced. See the full roster,0.0,2024-07-09 15:33:26.096237
Dillon Brooks: ‘Canada will be ready to play’ vs. Team USA,0.3612,2024-07-09 15:33:26.096237
Canada's Dillon Brooks Had Strong Reminder for Team USA Ahead of Olympic Matchup,0.5106,2024-07-09 15:33:26.096237
Democrats brace for 'raucous' meetings on Joe Biden's future in the 2024 campaign,0.0,2024-07-09 15:33:26.111995
USA Today transformed the media world for good. What’s its legacy now?,0.4404,2024-07-09 15:33:26.111995
Assemble a men's basketball Olympic team that can win gold,0.5859,2024-07-09 15:33:26.111995
Can Kamala Harris beat Trump? New poll puts her ahead of Joe Biden,0.0,2024-07-09 15:33:26.111995
Beyoncé Cécred scholarship winner says she 'was shocked' to receive grant,0.6124,2024-07-09 15:33:26.111995
