title,datetime,link
Star Wars Outlaws Wants to Be Your Dream 'Open Galaxy' - IGN First,2024-07-09 16:31:20.283404,news.google.com/articles/CBMiW2h0dHBzOi8vd3d3Lmlnbi5jb20vYXJ0aWNsZXMvc3Rhci13YXJzLW91dGxhd3Mtd2FudHMtdG8tYmUteW91ci1kcmVhbS1vcGVuLWdhbGF4eS1pZ24tZmlyc3TSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
Topic: Relations with Ukraine,2024-07-09 16:31:20.283404,news.google.com/articles/CBMiM2h0dHBzOi8vd3d3Lm5hdG8uaW50L2Nwcy9lbi9uYXRvaHEvdG9waWNzXzM3NzUwLmh0bdIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
High Commissioner Türk provides update on Ukraine: “War is the worst enemy of human rights”,2024-07-09 16:31:20.283404,news.google.com/articles/CBMid2h0dHBzOi8vd3d3Lm9oY2hyLm9yZy9lbi9zdGF0ZW1lbnRzLWFuZC1zcGVlY2hlcy8yMDI0LzA3L2hpZ2gtY29tbWlzc2lvbmVyLXR1cmstcHJvdmlkZXMtdXBkYXRlLXVrcmFpbmUtd2FyLXdvcnN0LWVuZW150gEA?hl=en-CA&gl=CA&ceid=CA%3Aen
Families of Indians duped into Russia’s war hope Modi will bring them home,2024-07-09 16:31:20.293488,news.google.com/articles/CBMicWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDI0LzcvOS9mYW1pbGllcy1vZi1pbmRpYW5zLWR1cGVkLWludG8tcnVzc2lhcy13YXItaG9wZS1tb2RpLXdpbGwtYnJpbmctdGhlbS1ob21l0gF1aHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvbmV3cy8yMDI0LzcvOS9mYW1pbGllcy1vZi1pbmRpYW5zLWR1cGVkLWludG8tcnVzc2lhcy13YXItaG9wZS1tb2RpLXdpbGwtYnJpbmctdGhlbS1ob21l?hl=en-CA&gl=CA&ceid=CA%3Aen
'Otherworldly' Portuguese man-of-war becoming more common on Nova Scotia's inshore,2024-07-09 16:31:20.293488,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9ub3ZhLXNjb3RpYS9wb3J0dWd1ZXNlLW1hbi1vZi13YXItbW9yZS1jb21tb24tbm92YS1zY290aWEtMS43MjU3ODAx0gEgaHR0cHM6Ly93d3cuY2JjLmNhL2FtcC8xLjcyNTc4MDE?hl=en-CA&gl=CA&ceid=CA%3Aen
Israel war on Gaza updates: Israeli attack on Gaza school kills dozens,2024-07-09 16:31:20.295502,news.google.com/articles/CBMieWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy9saXZlYmxvZy8yMDI0LzcvOS9pc3JhZWxzLXdhci1vbi1nYXphLWxpdmUtdHdvLWdhemEtY2l0eS1ob3NwaXRhbHMtY2xvc2Utb24taXNyYWVsaS1vcmRlcnPSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
"‘War cannot solve problems,’ India’s PM Modi tells Russia’s Putin",2024-07-09 16:31:20.295502,news.google.com/articles/CBMiXmh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDI0LzcvOS93YXItY2Fubm90LXNvbHZlLXByb2JsZW1zLWluZGlhcy1wbS1tb2RpLXRlbGxzLXJ1c3NpYXPSAWJodHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9uZXdzLzIwMjQvNy85L3dhci1jYW5ub3Qtc29sdmUtcHJvYmxlbXMtaW5kaWFzLXBtLW1vZGktdGVsbHMtcnVzc2lhcw?hl=en-CA&gl=CA&ceid=CA%3Aen
Gaza hostage-ceasefire deal faces new hurdles as Israel sets conditions. Here’s what to know,2024-07-09 16:31:20.303537,news.google.com/articles/CBMidGh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNy8wOC9taWRkbGVlYXN0L2lzcmFlbC1oYW1hcy1jZWFzZWZpcmUtaG9zdGFnZS1kZWFsLWRlbWFuZHMtZXhwbGFpbmVyLW1pbWUtaW50bC9pbmRleC5odG1s0gFtaHR0cHM6Ly9hbXAuY25uLmNvbS9jbm4vMjAyNC8wNy8wOC9taWRkbGVlYXN0L2lzcmFlbC1oYW1hcy1jZWFzZWZpcmUtaG9zdGFnZS1kZWFsLWRlbWFuZHMtZXhwbGFpbmVyLW1pbWUtaW50bA?hl=en-CA&gl=CA&ceid=CA%3Aen
"Israeli protesters block highways, call for cease-fire to return hostages 9 months into war in Gaza",2024-07-09 16:31:20.303537,news.google.com/articles/CBMicGh0dHBzOi8vYWJjbmV3cy5nby5jb20vSW50ZXJuYXRpb25hbC93aXJlU3RvcnkvaXNyYWVsaS1wcm90ZXN0ZXJzLWJsb2NrLWhpZ2h3YXlzLWNhbGwtY2Vhc2UtZmlyZS1icmluZy0xMTE3MjQ0ODbSAXRodHRwczovL2FiY25ld3MuZ28uY29tL2FtcC9JbnRlcm5hdGlvbmFsL3dpcmVTdG9yeS9pc3JhZWxpLXByb3Rlc3RlcnMtYmxvY2staGlnaHdheXMtY2FsbC1jZWFzZS1maXJlLWJyaW5nLTExMTcyNDQ4Ng?hl=en-CA&gl=CA&ceid=CA%3Aen
"War, Elections, And Summitry",2024-07-09 16:31:20.308624,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LnJmZXJsLm9yZy9hL2d1dHRlcm1hbi1wb2RjYXN0LXJ1c3NpYS13ZWVrLWFoZWFkLWdvdWxkLWRhdmllcy1uYXRvLXN1bW1pdC11a3JhaW5lLXdhci8zMzAyODMzMi5odG1s0gFwaHR0cHM6Ly93d3cucmZlcmwub3JnL2FtcC9ndXR0ZXJtYW4tcG9kY2FzdC1ydXNzaWEtd2Vlay1haGVhZC1nb3VsZC1kYXZpZXMtbmF0by1zdW1taXQtdWtyYWluZS13YXIvMzMwMjgzMzIuaHRtbA?hl=en-CA&gl=CA&ceid=CA%3Aen
