neg,neu,pos,compound,datetime
0.231,0.641,0.128,-0.3818,2024-07-09 16:31:20.283404
0.0,1.0,0.0,0.0,2024-07-09 16:31:20.283404
0.369,0.631,0.0,-0.8225,2024-07-09 16:31:20.283404
0.342,0.51,0.148,-0.5859,2024-07-09 16:31:20.293488
0.0,1.0,0.0,0.0,2024-07-09 16:31:20.293488
0.538,0.462,0.0,-0.8885,2024-07-09 16:31:20.295502
0.15,0.85,0.0,-0.1511,2024-07-09 16:31:20.295502
0.0,1.0,0.0,0.0,2024-07-09 16:31:20.303537
0.42,0.58,0.0,-0.8271,2024-07-09 16:31:20.303537
0.565,0.435,0.0,-0.5994,2024-07-09 16:31:20.308624
0.467,0.533,0.0,-0.7906,2024-07-09 16:31:20.308624
0.55,0.45,0.0,-0.7269,2024-07-09 16:31:20.313270
0.328,0.672,0.0,-0.5994,2024-07-09 16:31:20.318319
0.389,0.611,0.0,-0.7906,2024-07-09 16:31:20.318319
0.214,0.44,0.346,0.34,2024-07-09 16:31:20.318319
0.328,0.672,0.0,-0.5994,2024-07-09 16:31:20.323405
0.248,0.573,0.178,-0.2732,2024-07-09 16:31:20.323405
0.302,0.698,0.0,-0.5994,2024-07-09 16:31:20.323405
0.454,0.387,0.159,-0.7268,2024-07-09 16:31:20.323405
0.281,0.719,0.0,-0.5994,2024-07-09 16:31:20.326933
0.302,0.698,0.0,-0.5994,2024-07-09 16:31:20.326933
0.191,0.539,0.27,0.1531,2024-07-09 16:31:20.326933
0.231,0.769,0.0,-0.5994,2024-07-09 16:31:20.326933
0.262,0.738,0.0,-0.5994,2024-07-09 16:31:20.331720
0.31,0.69,0.0,-0.5574,2024-07-09 16:31:20.333745
0.291,0.709,0.0,-0.8481,2024-07-09 16:31:20.333959
0.25,0.577,0.173,-0.296,2024-07-09 16:31:20.333959
0.319,0.539,0.142,-0.5574,2024-07-09 16:31:20.333959
0.319,0.539,0.142,-0.5574,2024-07-09 16:31:20.333959
0.269,0.731,0.0,-0.7096,2024-07-09 16:31:20.333959
0.245,0.755,0.0,-0.5994,2024-07-09 16:31:20.333959
0.0,0.606,0.394,0.7046,2024-07-09 16:31:20.338491
0.293,0.602,0.105,-0.5423,2024-07-09 16:31:20.338491
0.227,0.64,0.134,-0.3818,2024-07-09 16:31:20.338491
0.189,0.811,0.0,-0.2732,2024-07-09 16:31:20.338491
0.262,0.738,0.0,-0.5994,2024-07-09 16:31:20.338491
0.358,0.642,0.0,-0.8047,2024-07-09 16:31:20.338491
0.235,0.765,0.0,-0.4588,2024-07-09 16:31:20.338491
0.433,0.355,0.213,-0.4767,2024-07-09 16:31:20.343036
0.214,0.604,0.181,-0.1531,2024-07-09 16:31:20.344095
0.507,0.493,0.0,-0.7351,2024-07-09 16:31:20.344095
0.262,0.738,0.0,-0.5994,2024-07-09 16:31:20.344095
0.227,0.465,0.308,0.1027,2024-07-09 16:31:20.344095
0.227,0.535,0.238,0.296,2024-07-09 16:31:20.348651
0.362,0.638,0.0,-0.6249,2024-07-09 16:31:20.348651
0.327,0.545,0.128,-0.7269,2024-07-09 16:31:20.348651
0.248,0.318,0.433,0.4404,2024-07-09 16:31:20.348651
0.245,0.755,0.0,-0.5994,2024-07-09 16:31:20.353327
0.224,0.575,0.201,-0.1027,2024-07-09 16:31:20.353327
0.271,0.556,0.174,-0.34,2024-07-09 16:31:20.358450
0.302,0.698,0.0,-0.5994,2024-07-09 16:31:20.359274
0.494,0.506,0.0,-0.5994,2024-07-09 16:31:20.359274
0.231,0.769,0.0,-0.5994,2024-07-09 16:31:20.359274
0.0,1.0,0.0,0.0,2024-07-09 16:31:20.359274
0.407,0.593,0.0,-0.6705,2024-07-09 17:31:20.283404
0.2,0.615,0.185,-0.316,2024-07-09 17:31:20.318319
0.159,0.604,0.237,0.2584,2024-07-09 17:31:20.363359
0.43,0.57,0.0,-0.8074,2024-07-09 18:31:20.283404
0.0,0.778,0.222,0.4019,2024-07-09 18:31:20.313270
0.155,0.794,0.052,-0.5574,2024-07-09 18:31:20.331720
0.393,0.437,0.169,-0.4767,2024-07-09 19:31:20.326933
0.565,0.435,0.0,-0.5994,2024-07-09 19:31:20.333959
0.218,0.782,0.0,-0.5994,2024-07-09 19:31:20.333959
0.302,0.698,0.0,-0.5994,2024-07-09 20:31:20.283404
0.0,1.0,0.0,0.0,2024-07-09 20:31:20.295502
0.0,1.0,0.0,0.0,2024-07-09 20:31:20.326933
0.189,0.631,0.18,-0.0516,2024-07-09 20:31:20.348651
0.247,0.753,0.0,-0.5574,2024-07-09 20:31:20.353327
0.333,0.667,0.0,-0.4588,2024-07-09 21:31:20.283404
0.442,0.335,0.223,-0.7096,2024-07-09 21:31:20.283404
0.368,0.632,0.0,-0.7906,2024-07-09 21:31:20.293345
0.0,1.0,0.0,0.0,2024-07-09 21:31:20.308624
0.302,0.698,0.0,-0.5994,2024-07-09 21:31:20.311231
0.31,0.69,0.0,-0.6597,2024-07-09 21:31:20.313270
0.441,0.559,0.0,-0.7845,2024-07-09 21:31:20.331720
0.358,0.642,0.0,-0.5994,2024-07-09 22:31:20.283404
0.0,1.0,0.0,0.0,2024-07-09 22:31:20.303537
