title,compound,datetime
Star Wars Outlaws Wants to Be Your Dream 'Open Galaxy' - IGN First,-0.3818,2024-07-09 16:31:20.283404
Topic: Relations with Ukraine,0.0,2024-07-09 16:31:20.283404
High Commissioner Türk provides update on Ukraine: “War is the worst enemy of human rights”,-0.8225,2024-07-09 16:31:20.283404
Families of Indians duped into Russia’s war hope Modi will bring them home,-0.5859,2024-07-09 16:31:20.293488
'Otherworldly' Portuguese man-of-war becoming more common on Nova Scotia's inshore,0.0,2024-07-09 16:31:20.293488
Israel war on Gaza updates: Israeli attack on Gaza school kills dozens,-0.8885,2024-07-09 16:31:20.295502
"‘War cannot solve problems,’ India’s PM Modi tells Russia’s Putin",-0.1511,2024-07-09 16:31:20.295502
Gaza hostage-ceasefire deal faces new hurdles as Israel sets conditions. Here’s what to know,0.0,2024-07-09 16:31:20.303537
"Israeli protesters block highways, call for cease-fire to return hostages 9 months into war in Gaza",-0.8271,2024-07-09 16:31:20.303537
"War, Elections, And Summitry",-0.5994,2024-07-09 16:31:20.308624
"In Olympics push, France ramps up war on fake fashion",-0.7906,2024-07-09 16:31:20.308624
Why Israel should avoid a war with Hizbullah,-0.7269,2024-07-09 16:31:20.313270
NATO needs a realistic plan for ending the Ukraine war,-0.5994,2024-07-09 16:31:20.318319
"After nine months of war in Gaza, another UN school suffers Israeli airstrike",-0.7906,2024-07-09 16:31:20.318319
Statue honouring Sask. war veterans' bravery on D-Day viewed in Regina,0.34,2024-07-09 16:31:20.318319
Explainer-Why is Russia changing its language about the war?,-0.5994,2024-07-09 16:31:20.323405
These Corporations Are the True “Winners” of the War on Gaza,-0.2732,2024-07-09 16:31:20.323405
Poland’s Last Few MiG-29s Could Go To War In Ukraine,-0.5994,2024-07-09 16:31:20.323405
"Modi tells Putin: War cannot solve Ukraine crisis, death of children ‘painful’",-0.7268,2024-07-09 16:31:20.323405
What I Learned in Beirut About How to Halt an Israel-Hezbollah War,-0.5994,2024-07-09 16:31:20.326933
NATO’s Biggest Test Since the Cold War Is Still Ahead,-0.5994,2024-07-09 16:31:20.326933
What South Korea Can Accomplish at NATO To Help End the War in Ukraine,0.1531,2024-07-09 16:31:20.326933
"The few can beat the many, Taiwan president says ahead of annual war games",-0.5994,2024-07-09 16:31:20.326933
"Despite hardships brought by war, flowers fill Kyiv and other Ukrainian cities",-0.5994,2024-07-09 16:31:20.331720
Diplomacy wars: Orbán’s new nemesis arranges visit to Ukraine,-0.5574,2024-07-09 16:31:20.333745
"Russia-Ukraine war: killers of children in hospital the ‘dregs of humanity’, says Czech minister, as Russian ambassador is summoned – as it happened",-0.8481,2024-07-09 16:31:20.333959
"Australia appoints special envoys as antisemitism, Islamophobia rise over Gaza war",-0.296,2024-07-09 16:31:20.333959
"Russia's war threatens Ukraine's Olympic future, not just the present. A young gymnast offers hope",-0.5574,2024-07-09 16:31:20.333959
"Russia's war threatens Ukraine's Olympic future, not just the present. A young gymnast offers hope",-0.5574,2024-07-09 16:31:20.333959
"Ukraine war latest: Missile that struck children's hospital was Russian, Sky News finds; Modi rebukes Putin during visit",-0.7096,2024-07-09 16:31:20.333959
India's Modi tells Putin that 'heart bleeds' over deaths of children in war,-0.5994,2024-07-09 16:31:20.333959
Narendra Modi and Vladimir Putin to boost trade despite Ukraine war,0.7046,2024-07-09 16:31:20.338491
UK Labour Defence Secretary visits Ukraine to back escalated war,-0.5423,2024-07-09 16:31:20.338491
White House: India has ability to urge Putin to end war in Ukraine,-0.3818,2024-07-09 16:31:20.338491
‘Civil War’ Purchase And Rental Prices Drop On Digital Streaming,-0.2732,2024-07-09 16:31:20.338491
"'Civil War' review: Alex Garland's latest is more 'Men,' less 'Ex Machina'",-0.5994,2024-07-09 16:31:20.338491
"Putin hosts India’s prime minister in Russia to deepen ties, but war in Ukraine looms",-0.8047,2024-07-09 16:31:20.338491
Israeli forces push deeper into Gaza City as Hamas warns that escalation threatens cease-fire talks,-0.4588,2024-07-09 16:31:20.338491
US needs smarter policies to avoid a China war,-0.4767,2024-07-09 16:31:20.343036
Total War: Pharaoh's enormous free Dynasties update gets a July release date and trailer,-0.1531,2024-07-09 16:31:20.344095
US accuses Iran of exploiting anti-war protests on university campuses,-0.7351,2024-07-09 16:31:20.344095
House keys carry symbolic weight for Palestinians families repeatedly displaced by war,-0.5994,2024-07-09 16:31:20.344095
